pub_rel_id	broad_rel_type	conf_score	num_votes	percent_agree	match
drug_disease_0	positive	2.5589	3	1.0	1
drug_disease_1	positive	2.4251	3	1.0	0
drug_disease_10	false	4.2055	5	0.8453776107101937	1
drug_disease_10	negative	0.7692	1	0.15462238928980643	0
drug_disease_100	positive	4.3753	5	0.5748577735149978	1
drug_disease_100	false	1.7333	2	0.22773317917252434	0
drug_disease_100	negative	1.5025	2	0.1974090473124778	0
drug_disease_101	positive	2.3788	3	1.0	1
drug_disease_102	positive	2.5879	3	1.0	1
drug_disease_103	positive	4.3053	5	0.7315966557911908	1
drug_disease_103	false	0.8462	1	0.14379418162044588	0
drug_disease_103	negative	0.7333	1	0.12460916258836323	0
drug_disease_104	positive	2.6092	3	1.0	1
drug_disease_105	positive	2.4421	3	0.7455883250900653	1
drug_disease_105	negative	0.8333	1	0.25441167490993466	0
drug_disease_106	positive	3.4386	4	0.4655123397457593	0
drug_disease_106	speculative	3.1624	4	0.4281208117291889	1
drug_disease_106	negative	0.7857	1	0.10636684852505177	0
drug_disease_107	positive	2.6532	3	0.7796191819464033	0
drug_disease_107	speculative	0.75	1	0.2203808180535966	1
drug_disease_108	positive	5.336399999999999	6	0.6828669046796422	1
drug_disease_108	false	1.7091	2	0.21870321317516989	0
drug_disease_108	negative	0.7692	1	0.09842988214518793	0
drug_disease_109	false	4.6922	6	0.6406783363827521	0
drug_disease_109	positive	2.6316	3	0.3593216636172479	1
drug_disease_11	positive	1.9091	2	0.6961420653442241	1
drug_disease_11	negative	0.8333	1	0.303857934655776	0
drug_disease_110	positive	2.3788	3	1.0	1
drug_disease_111	positive	2.5901	3	0.7640187605085396	1
drug_disease_111	false	0.8	1	0.2359812394914604	0
drug_disease_112	positive	2.5879	3	1.0	1
drug_disease_113	positive	2.4848	3	1.0	1
drug_disease_114	positive	4.6257	5	0.5695762993609398	1
drug_disease_114	false	3.4956	4	0.43042370063906027	0
drug_disease_115	speculative	4.8437	6	0.6557326004846549	1
drug_disease_115	positive	2.543	3	0.34426739951534513	0
drug_disease_116	positive	2.85	3	1.0	0
drug_disease_117	positive	2.4451	3	0.7404457634304403	1
drug_disease_117	speculative	0.8571	1	0.25955423656955967	0
drug_disease_118	positive	2.4745	3	1.0	1
drug_disease_119	negative	2.5126	3	1.0	0
drug_disease_12	positive	4.2616000000000005	5	0.8406683368512419	1
drug_disease_12	speculative	0.8077	1	0.1593316631487582	0
drug_disease_120	negative	2.5509	3	0.7683202313183337	0
drug_disease_120	positive	0.7692	1	0.2316797686816662	0
drug_disease_121	speculative	2.4848	3	1.0	0
drug_disease_122	speculative	2.397	3	1.0	0
drug_disease_123	speculative	4.0229	5	0.7038948768197089	0
drug_disease_123	positive	1.6923	2	0.2961051231802912	0
drug_disease_124	positive	2.85	3	1.0	0
drug_disease_125	speculative	1.75	2	0.7047074457375267	0
drug_disease_125	positive	0.7333	1	0.2952925542624733	0
drug_disease_126	negative	2.397	3	1.0	1
drug_disease_127	positive	5.1121	6	0.7458020278649062	1
drug_disease_127	speculative	1.7424	2	0.2541979721350937	0
drug_disease_128	positive	2.4854	3	0.7547295861042786	1
drug_disease_128	speculative	0.8077	1	0.24527041389572135	0
drug_disease_129	positive	2.5421	3	1.0	0
drug_disease_13	false	2.3596	3	1.0	1
drug_disease_130	positive	2.6836	3	1.0	0
drug_disease_131	positive	4.3622	5	0.5759744375198057	0
drug_disease_131	negative	2.2781	3	0.30079486637794445	0
drug_disease_131	false	0.9333	1	0.12323069610224995	1
drug_disease_132	negative	2.5025	3	0.7748157780667534	0
drug_disease_132	speculative	0.7273	1	0.22518422193324664	0
drug_disease_133	negative	2.4848	3	0.7488623007142642	0
drug_disease_133	positive	0.8333	1	0.2511376992857358	0
drug_disease_134	negative	2.7515	3	0.7500954146447849	0
drug_disease_134	positive	0.9167	1	0.24990458535521506	0
drug_disease_135	positive	2.5666	3	1.0	0
drug_disease_136	positive	2.5078	3	1.0	1
drug_disease_137	positive	2.5078	3	1.0	1
drug_disease_138	positive	2.3606	3	0.7176821111516478	0
drug_disease_138	speculative	0.9286	1	0.2823178888483522	0
drug_disease_139	positive	1.75	2	0.7047074457375267	1
drug_disease_139	speculative	0.7333	1	0.2952925542624733	0
drug_disease_14	positive	2.4221	3	1.0	1
drug_disease_140	positive	2.4892	3	1.0	0
drug_disease_141	positive	2.6754	3	1.0	1
drug_disease_142	positive	2.4148	3	1.0	1
drug_disease_143	positive	2.5901	3	0.7640187605085396	0
drug_disease_143	false	0.8	1	0.2359812394914604	1
drug_disease_144	positive	2.4245	3	1.0	1
drug_disease_145	positive	2.5873	3	1.0	1
drug_disease_146	positive	2.5598	3	1.0	1
drug_disease_147	positive	2.5873	3	1.0	1
drug_disease_148	positive	3.4810999999999996	4	0.44989983844911136	1
drug_disease_148	false	1.7564000000000002	2	0.2269983844911147	0
drug_disease_148	speculative	1.7308	2	0.2236898222940226	0
drug_disease_148	negative	0.7692	1	0.0994119547657512	0
drug_disease_149	positive	4.1183	5	0.8342550389952396	1
drug_disease_149	false	0.8182	1	0.16574496100476047	0
drug_disease_15	positive	4.0652	5	0.7196954943790387	1
drug_disease_15	speculative	1.5833	2	0.28030450562096126	0
drug_disease_150	positive	2.85	3	1.0	1
drug_disease_151	positive	2.397	3	1.0	1
drug_disease_152	negative	4.2158	5	0.7240035034089543	0
drug_disease_152	positive	1.6071	2	0.2759964965910457	1
drug_disease_153	positive	2.6322	3	1.0	1
drug_disease_154	positive	2.4745	3	1.0	1
drug_disease_155	positive	2.5879	3	1.0	1
drug_disease_156	positive	2.6209000000000002	3	1.0	1
drug_disease_157	positive	2.3778	3	1.0	1
drug_disease_158	positive	2.6744	3	1.0	1
drug_disease_159	positive	2.6092	3	1.0	1
drug_disease_16	positive	2.6083	3	0.7635538641686183	0
drug_disease_16	speculative	0.8077	1	0.23644613583138174	0
drug_disease_160	positive	2.3596	3	1.0	1
drug_disease_161	positive	2.5421	3	1.0	1
drug_disease_162	positive	2.3596	3	1.0	0
drug_disease_163	positive	2.5873	3	1.0	1
drug_disease_164	positive	2.5971	3	0.7570837220149254	1
drug_disease_164	false	0.8333	1	0.24291627798507462	0
drug_disease_165	positive	2.5078	3	1.0	1
drug_disease_166	positive	2.5598	3	1.0	1
drug_disease_167	positive	2.6836	3	1.0	1
drug_disease_168	positive	1.6648	2	0.6894152724863343	1
drug_disease_168	speculative	0.75	1	0.3105847275136657	0
drug_disease_169	positive	2.5666	3	1.0	1
drug_disease_17	positive	2.5421	3	1.0	0
drug_disease_170	positive	2.4892	3	1.0	1
drug_disease_171	positive	2.4833	3	1.0	0
drug_disease_172	positive	2.5666	3	1.0	1
drug_disease_173	positive	4.0853	5	0.5595688143765067	0
drug_disease_173	speculative	1.4666	2	0.20088209511286434	0
drug_disease_173	false	0.9412	1	0.12891737891737892	1
drug_disease_173	negative	0.8077	1	0.11063171159325005	0
drug_disease_174	positive	2.397	3	1.0	0
drug_disease_175	positive	3.3668	4	0.8080061438033982	1
drug_disease_175	false	0.8	1	0.1919938561966017	0
drug_disease_176	positive	2.4221	3	1.0	1
drug_disease_177	positive	2.5078	3	1.0	1
drug_disease_178	positive	2.5879	3	1.0	1
drug_disease_179	positive	2.397	3	1.0	1
drug_disease_18	false	4.0003	5	0.711885822077483	0
drug_disease_18	negative	1.619	2	0.28811417792251703	0
drug_disease_180	positive	2.397	3	1.0	1
drug_disease_181	positive	2.6039	3	1.0	1
drug_disease_182	negative	2.3596	3	1.0	0
drug_disease_183	positive	2.3165999999999998	3	0.7110933758978452	0
drug_disease_183	speculative	0.9412	1	0.2889066241021549	0
drug_disease_184	positive	2.397	3	1.0	1
drug_disease_185	positive	2.609	3	1.0	1
drug_disease_186	positive	2.5879	3	1.0	1
drug_disease_187	positive	2.7424	3	1.0	1
drug_disease_188	positive	2.5598	3	1.0	1
drug_disease_189	positive	2.4892	3	1.0	1
drug_disease_19	positive	2.4833	3	1.0	1
drug_disease_190	speculative	4.4341	5	0.7076105516812153	0
drug_disease_190	positive	1.8322	2	0.2923894483187846	1
drug_disease_191	positive	2.5509	3	0.7683202313183337	1
drug_disease_191	speculative	0.7692	1	0.2316797686816662	0
drug_disease_192	positive	2.4221	3	1.0	1
drug_disease_193	positive	2.4004	3	1.0	1
drug_disease_194	positive	2.5879	3	1.0	1
drug_disease_195	positive	2.5483000000000002	3	0.759326579261025	1
drug_disease_195	false	0.8077	1	0.24067342073897494	0
drug_disease_196	positive	1.8517000000000001	2	0.7065130298752337	1
drug_disease_196	negative	0.7692	1	0.29348697012476627	0
drug_disease_197	positive	2.5666	3	1.0	1
drug_disease_198	positive	2.7189	3	0.7494211686879824	0
drug_disease_198	false	0.9091	1	0.25057883131201764	1
drug_disease_199	negative	2.6092	3	1.0	0
drug_disease_2	positive	2.5421	3	1.0	0
drug_disease_20	positive	2.6092	3	1.0	1
drug_disease_200	positive	4.1553	5	0.7262098254076443	0
drug_disease_200	speculative	1.5666	2	0.27379017459235566	0
drug_disease_201	positive	2.4696	3	0.7499316753211259	1
drug_disease_201	speculative	0.8235	1	0.250068324678874	0
drug_disease_202	negative	4.2201	5	0.5655454301795766	0
drug_disease_202	positive	2.5086	3	0.3361833288662557	0
drug_disease_202	false	0.7333	1	0.09827124095416778	1
drug_disease_203	negative	2.7947	3	0.7703142227122382	0
drug_disease_203	false	0.8333	1	0.22968577728776185	1
drug_disease_204	positive	2.6696	3	0.7666637948364493	1
drug_disease_204	speculative	0.8125	1	0.23333620516355072	0
drug_disease_205	positive	4.1216	5	0.5558462575859744	0
drug_disease_205	speculative	3.2934	4	0.4441537424140256	0
drug_disease_206	positive	4.1178	5	1.0	1
drug_disease_207	positive	2.4867	3	1.0	1
drug_disease_208	positive	3.2009000000000003	4	0.4365538310466163	1
drug_disease_208	speculative	1.7647	2	0.24067810479801421	0
drug_disease_208	false	1.6333000000000002	2	0.2227571533782494	0
drug_disease_208	negative	0.7333	1	0.10001091077712009	0
drug_disease_209	positive	2.5879	3	1.0	1
drug_disease_21	positive	2.3788	3	1.0	1
