choice_0_ids	choice_0_label	choice_1_ids	choice_1_label	choice_2_ids	choice_2_label	choice_3_ids	choice_3_label	choice_4_ids	choice_4_label	form_abstract	form_title	pmid	uniq_id
D020117_induces_D016171	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	D020117_induces_D017180	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	C063968_induces_D016171	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	C063968_induces_D017180	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	D016593_induces_D016171	"<span class=""chemical"">[chemical C]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	"1. <span class=""disease"">[disease P]</span> (<span class=""disease"">[disease P]</span>) is a potentially fatal <span class=""disease"">[disease Q]</span> associated with increases in QT interval and monophasic action potential duration (MAPD). <span class=""disease"">[disease P]</span> is a side-effect that has led to withdrawal of several drugs from the market (e.g. <span class=""chemical"">[chemical C]</span> and terodiline). 2. The potential of compounds to cause <span class=""disease"">[disease P]</span> was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause <span class=""disease"">[disease P]</span> were investigated: <span class=""chemical"">[chemical C]</span>, terodiline, <span class=""chemical"">[chemical A]</span> and <span class=""chemical"">[chemical B]</span>. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for <span class=""chemical"">[chemical C]</span> (1.9 nM), terodiline (76 nM), <span class=""chemical"">[chemical A]</span> (11 nM) and <span class=""chemical"">[chemical B]</span> (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown <span class=""disease"">[disease P]</span> in the clinic (<span class=""chemical"">[chemical C]</span>, terodiline, <span class=""chemical"">[chemical A]</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to <span class=""disease"">[disease P]</span> in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies."	"Pharmacokinetic/pharmacodynamic assessment of the effects of <span class=""chemical"">[chemical B]</span>, <span class=""chemical"">[chemical A]</span>, <span class=""chemical"">[chemical C]</span> and terodiline on monophasic action potential duration in dog."	11569530	bcv_id_0
D016593_induces_D017180	"<span class=""chemical"">[chemical C]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	C010637_induces_D016171	"<span class=""chemical"">[chemical D]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	C010637_induces_D017180	"<span class=""chemical"">[chemical D]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	empty	<strong>Do not</strong> choose this choice.	empty	<strong>Do not</strong> choose this choice.	"1. <span class=""disease"">[disease P]</span> (<span class=""disease"">[disease P]</span>) is a potentially fatal <span class=""disease"">[disease Q]</span> associated with increases in QT interval and monophasic action potential duration (MAPD). <span class=""disease"">[disease P]</span> is a side-effect that has led to withdrawal of several drugs from the market (e.g. <span class=""chemical"">[chemical C]</span> and <span class=""chemical"">[chemical D]</span>). 2. The potential of compounds to cause <span class=""disease"">[disease P]</span> was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause <span class=""disease"">[disease P]</span> were investigated: <span class=""chemical"">[chemical C]</span>, <span class=""chemical"">[chemical D]</span>, cisapride and E4031. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for <span class=""chemical"">[chemical C]</span> (1.9 nM), <span class=""chemical"">[chemical D]</span> (76 nM), cisapride (11 nM) and E4031 (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown <span class=""disease"">[disease P]</span> in the clinic (<span class=""chemical"">[chemical C]</span>, <span class=""chemical"">[chemical D]</span>, cisapride) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to <span class=""disease"">[disease P]</span> in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies."	"Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, cisapride, <span class=""chemical"">[chemical C]</span> and <span class=""chemical"">[chemical D]</span> on monophasic action potential duration in dog."	11569530	bcv_id_1
D017239_induces_D013921	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	D017239_induces_D064420	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	D017239_induces_D003643	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease R]</span>"	D017239_induces_D009503	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease S]</span>"	D017239_induces_D002289	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease T]</span>"	"<p>BACKGROUND: Cisplatin-based chemotherapy combinations improve quality of life and survival in advanced <span class=""disease"">[disease T]</span> (<span class=""disease"">[disease T]</span>). The emergence of new active drugs might translate into more effective regimens for the treatment of this disease. </p><p>METHODS: The objective of this study was to determine the feasibility, response rate, and <span class=""disease"">[disease Q]</span> of a <span class=""chemical"">[chemical A]</span>, cisplatin, and gemcitabine combination to treat metastatic <span class=""disease"">[disease T]</span>. Thirty-five consecutive chemotherapy-naive patients with Stage IV <span class=""disease"">[disease T]</span> and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of <span class=""chemical"">[chemical A]</span> (135 mg/m(2) given intravenously in 3 hours) on Day 1, cisplatin (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks. Although responding patients were scheduled to receive consolidation radiotherapy and 24 patients received preplanned second-line chemotherapy after disease progression, the response and <span class=""disease"">[disease Q]</span> rates reported refer only to the chemotherapy regimen given. </p><p>RESULTS: All the patients were examined for <span class=""disease"">[disease Q]</span>; 34 were examinable for response. An objective response was observed in 73.5% of the patients (95% confidence interval [CI], 55.6-87.1%), including 4 complete responses (11.7%). According to intention-to-treat, the overall response rate was 71.4% (95% CI, 53. 7-85.4%). After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for <span class=""chemical"">[chemical A]</span> (97.3%), 117 mg/m(2) for cisplatin (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%). World Health Organization Grade 3-4 <span class=""disease"">[disease S]</span> and <span class=""disease"">[disease P]</span> occurred in 39.9% and 11.4% of patients, respectively. There was one treatment-related <span class=""disease"">[disease R]</span>. Nonhematologic <span class=""disease"">[disease Q]</span> were mild. After a median follow-up of 22 months, the median progression free survival rate was 7 months, and the median survival time was 16 months. </p><p>CONCLUSIONS: The combination of <span class=""chemical"">[chemical A]</span>, cisplatin, and gemcitabine is well tolerated and shows high activity in metastatic <span class=""disease"">[disease T]</span>. This treatment merits further comparison with other cisplatin-based regimens.</p>"	"<span class=""chemical"">[chemical A]</span>, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic <span class=""disease"">[disease T]</span>."	11135224	bcv_id_2
D002945_induces_D013921	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	D002945_induces_D064420	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	D002945_induces_D003643	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease R]</span>"	D002945_induces_D009503	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease S]</span>"	D002945_induces_D002289	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease T]</span>"	"<p>BACKGROUND: <span class=""chemical"">[chemical B]</span>-based chemotherapy combinations improve quality of life and survival in advanced <span class=""disease"">[disease T]</span> (<span class=""disease"">[disease T]</span>). The emergence of new active drugs might translate into more effective regimens for the treatment of this disease. </p><p>METHODS: The objective of this study was to determine the feasibility, response rate, and <span class=""disease"">[disease Q]</span> of a paclitaxel, <span class=""chemical"">[chemical B]</span>, and gemcitabine combination to treat metastatic <span class=""disease"">[disease T]</span>. Thirty-five consecutive chemotherapy-naive patients with Stage IV <span class=""disease"">[disease T]</span> and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, <span class=""chemical"">[chemical B]</span> (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks. Although responding patients were scheduled to receive consolidation radiotherapy and 24 patients received preplanned second-line chemotherapy after disease progression, the response and <span class=""disease"">[disease Q]</span> rates reported refer only to the chemotherapy regimen given. </p><p>RESULTS: All the patients were examined for <span class=""disease"">[disease Q]</span>; 34 were examinable for response. An objective response was observed in 73.5% of the patients (95% confidence interval [CI], 55.6-87.1%), including 4 complete responses (11.7%). According to intention-to-treat, the overall response rate was 71.4% (95% CI, 53. 7-85.4%). After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for paclitaxel (97.3%), 117 mg/m(2) for <span class=""chemical"">[chemical B]</span> (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%). World Health Organization Grade 3-4 <span class=""disease"">[disease S]</span> and <span class=""disease"">[disease P]</span> occurred in 39.9% and 11.4% of patients, respectively. There was one treatment-related <span class=""disease"">[disease R]</span>. Nonhematologic <span class=""disease"">[disease Q]</span> were mild. After a median follow-up of 22 months, the median progression free survival rate was 7 months, and the median survival time was 16 months. </p><p>CONCLUSIONS: The combination of paclitaxel, <span class=""chemical"">[chemical B]</span>, and gemcitabine is well tolerated and shows high activity in metastatic <span class=""disease"">[disease T]</span>. This treatment merits further comparison with other <span class=""chemical"">[chemical B]</span>-based regimens.</p>"	"Paclitaxel, <span class=""chemical"">[chemical B]</span>, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic <span class=""disease"">[disease T]</span>."	11135224	bcv_id_3
C056507_induces_D013921	"<span class=""chemical"">[chemical C]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	C056507_induces_D064420	"<span class=""chemical"">[chemical C]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	C056507_induces_D003643	"<span class=""chemical"">[chemical C]</span> contributes to or plays a role in <span class=""disease"">[disease R]</span>"	C056507_induces_D009503	"<span class=""chemical"">[chemical C]</span> contributes to or plays a role in <span class=""disease"">[disease S]</span>"	C056507_induces_D002289	"<span class=""chemical"">[chemical C]</span> contributes to or plays a role in <span class=""disease"">[disease T]</span>"	"<p>BACKGROUND: Cisplatin-based chemotherapy combinations improve quality of life and survival in advanced <span class=""disease"">[disease T]</span> (<span class=""disease"">[disease T]</span>). The emergence of new active drugs might translate into more effective regimens for the treatment of this disease. </p><p>METHODS: The objective of this study was to determine the feasibility, response rate, and <span class=""disease"">[disease Q]</span> of a paclitaxel, cisplatin, and <span class=""chemical"">[chemical C]</span> combination to treat metastatic <span class=""disease"">[disease T]</span>. Thirty-five consecutive chemotherapy-naive patients with Stage IV <span class=""disease"">[disease T]</span> and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, cisplatin (120 mg/m(2) given intravenously in 6 hours) on Day 1, and <span class=""chemical"">[chemical C]</span> (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks. Although responding patients were scheduled to receive consolidation radiotherapy and 24 patients received preplanned second-line chemotherapy after disease progression, the response and <span class=""disease"">[disease Q]</span> rates reported refer only to the chemotherapy regimen given. </p><p>RESULTS: All the patients were examined for <span class=""disease"">[disease Q]</span>; 34 were examinable for response. An objective response was observed in 73.5% of the patients (95% confidence interval [CI], 55.6-87.1%), including 4 complete responses (11.7%). According to intention-to-treat, the overall response rate was 71.4% (95% CI, 53. 7-85.4%). After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for paclitaxel (97.3%), 117 mg/m(2) for cisplatin (97.3%), and 1378 mg/m(2) for <span class=""chemical"">[chemical C]</span> (86.2%). World Health Organization Grade 3-4 <span class=""disease"">[disease S]</span> and <span class=""disease"">[disease P]</span> occurred in 39.9% and 11.4% of patients, respectively. There was one treatment-related <span class=""disease"">[disease R]</span>. Nonhematologic <span class=""disease"">[disease Q]</span> were mild. After a median follow-up of 22 months, the median progression free survival rate was 7 months, and the median survival time was 16 months. </p><p>CONCLUSIONS: The combination of paclitaxel, cisplatin, and <span class=""chemical"">[chemical C]</span> is well tolerated and shows high activity in metastatic <span class=""disease"">[disease T]</span>. This treatment merits further comparison with other cisplatin-based regimens.</p>"	"Paclitaxel, cisplatin, and <span class=""chemical"">[chemical C]</span> combination chemotherapy within a multidisciplinary therapeutic approach in metastatic <span class=""disease"">[disease T]</span>."	11135224	bcv_id_4
D003404_induces_D006973	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	D003404_induces_D011507	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	D003404_induces_D051437	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease R]</span>"	D003404_induces_D007674	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease S]</span>"	D003404_induces_D007676	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease T]</span>"	"Rats with lithium-induced <span class=""disease"">[disease S]</span> were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of <span class=""disease"">[disease R]</span>. Newborn female Wistar rats were fed a lithium-containing diet (50 mmol/kg) for 8 weeks and then randomized to normal diet, HP diet (40 vs. 19%), NX or HP+NX for another 8 weeks. Corresponding non-lithium pretreated groups were generated. When comparing all lithium treated versus non-lithium-treated groups, lithium caused a reduction in glomerular filtration rate (GFR) without significant changes in effective renal plasma flow (as determined by a marker secreted into the proximal tubules) or lithium clearance. Consequently, lithium pretreatment caused a fall in filtration fraction and an increase in fractional Li excretion. Lithium also caused <span class=""disease"">[disease Q]</span> and systolic <span class=""disease"">[disease P]</span> in absence of glomerulosclerosis. HP failed to accentuante progression of <span class=""disease"">[disease R]</span> and in fact tended to increase GFR and decrease plasma <span class=""chemical"">[chemical A]</span> levels in lithium pretreated rats. NX caused an additive deterioration in GFR which, however, was ameliorated by HP. NX+HP caused a further rise in blood pressure in Li-pretreated rats. The results indicate that Li-induced <span class=""disease"">[disease S]</span>, even when the GFR is only modestly reduced, is associated with <span class=""disease"">[disease Q]</span> and arterial systolic <span class=""disease"">[disease P]</span>. In this model of <span class=""disease"">[disease T]</span> the decline in GFR is not accompanied by a corresponding fall in effective renal plasma flow, which may be the functional expression of the formation of nonfiltrating atubular glomeruli. The fractional reabsorption of tubular fluid by the proximal tubules is reduced, leaving the distal delivery unchanged.(ABSTRACT TRUNCATED AT 250 WORDS)"	"Effects of uninephrectomy and high protein feeding on lithium-induced <span class=""disease"">[disease T]</span> in rats."	1378968	bcv_id_5
D003404_induces_D005921	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease U]</span>"	D008094_induces_D006973	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	D008094_induces_D011507	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	D008094_induces_D051437	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease R]</span>"	D008094_induces_D007674	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease S]</span>"	"Rats with <span class=""chemical"">[chemical B]</span>-induced <span class=""disease"">[disease S]</span> were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of <span class=""disease"">[disease R]</span>. Newborn female Wistar rats were fed a <span class=""chemical"">[chemical B]</span>-containing diet (50 mmol/kg) for 8 weeks and then randomized to normal diet, HP diet (40 vs. 19%), NX or HP+NX for another 8 weeks. Corresponding non-<span class=""chemical"">[chemical B]</span> pretreated groups were generated. When comparing all <span class=""chemical"">[chemical B]</span> treated versus non-<span class=""chemical"">[chemical B]</span>-treated groups, <span class=""chemical"">[chemical B]</span> caused a reduction in glomerular filtration rate (GFR) without significant changes in effective renal plasma flow (as determined by a marker secreted into the proximal tubules) or <span class=""chemical"">[chemical B]</span> clearance. Consequently, <span class=""chemical"">[chemical B]</span> pretreatment caused a fall in filtration fraction and an increase in fractional <span class=""chemical"">[chemical B]</span> excretion. <span class=""chemical"">[chemical B]</span> also caused <span class=""disease"">[disease Q]</span> and systolic <span class=""disease"">[disease P]</span> in absence of <span class=""disease"">[disease U]</span>. HP failed to accentuante progression of <span class=""disease"">[disease R]</span> and in fact tended to increase GFR and decrease plasma <span class=""chemical"">[chemical A]</span> levels in <span class=""chemical"">[chemical B]</span> pretreated rats. NX caused an additive deterioration in GFR which, however, was ameliorated by HP. NX+HP caused a further rise in blood pressure in <span class=""chemical"">[chemical B]</span>-pretreated rats. The results indicate that <span class=""chemical"">[chemical B]</span>-induced <span class=""disease"">[disease S]</span>, even when the GFR is only modestly reduced, is associated with <span class=""disease"">[disease Q]</span> and arterial systolic <span class=""disease"">[disease P]</span>. In this model of chronic renal failure the decline in GFR is not accompanied by a corresponding fall in effective renal plasma flow, which may be the functional expression of the formation of nonfiltrating atubular glomeruli. The fractional reabsorption of tubular fluid by the proximal tubules is reduced, leaving the distal delivery unchanged.(ABSTRACT TRUNCATED AT 250 WORDS)"	"Effects of uninephrectomy and high protein feeding on <span class=""chemical"">[chemical B]</span>-induced chronic renal failure in rats."	1378968	bcv_id_6
D008094_induces_D007676	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease T]</span>"	D008094_induces_D005921	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease U]</span>"	empty	<strong>Do not</strong> choose this choice.	empty	<strong>Do not</strong> choose this choice.	empty	<strong>Do not</strong> choose this choice.	"Rats with <span class=""chemical"">[chemical B]</span>-induced nephropathy were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of renal failure. Newborn female Wistar rats were fed a <span class=""chemical"">[chemical B]</span>-containing diet (50 mmol/kg) for 8 weeks and then randomized to normal diet, HP diet (40 vs. 19%), NX or HP+NX for another 8 weeks. Corresponding non-<span class=""chemical"">[chemical B]</span> pretreated groups were generated. When comparing all <span class=""chemical"">[chemical B]</span> treated versus non-<span class=""chemical"">[chemical B]</span>-treated groups, <span class=""chemical"">[chemical B]</span> caused a reduction in glomerular filtration rate (GFR) without significant changes in effective renal plasma flow (as determined by a marker secreted into the proximal tubules) or <span class=""chemical"">[chemical B]</span> clearance. Consequently, <span class=""chemical"">[chemical B]</span> pretreatment caused a fall in filtration fraction and an increase in fractional <span class=""chemical"">[chemical B]</span> excretion. <span class=""chemical"">[chemical B]</span> also caused proteinuria and systolic hypertension in absence of <span class=""disease"">[disease U]</span>. HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in <span class=""chemical"">[chemical B]</span> pretreated rats. NX caused an additive deterioration in GFR which, however, was ameliorated by HP. NX+HP caused a further rise in blood pressure in <span class=""chemical"">[chemical B]</span>-pretreated rats. The results indicate that <span class=""chemical"">[chemical B]</span>-induced nephropathy, even when the GFR is only modestly reduced, is associated with proteinuria and arterial systolic hypertension. In this model of <span class=""disease"">[disease T]</span> the decline in GFR is not accompanied by a corresponding fall in effective renal plasma flow, which may be the functional expression of the formation of nonfiltrating atubular glomeruli. The fractional reabsorption of tubular fluid by the proximal tubules is reduced, leaving the distal delivery unchanged.(ABSTRACT TRUNCATED AT 250 WORDS)"	"Effects of uninephrectomy and high protein feeding on <span class=""chemical"">[chemical B]</span>-induced <span class=""disease"">[disease T]</span> in rats."	1378968	bcv_id_7
D002211_induces_D010146	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	empty	<strong>Do not</strong> choose this choice.	empty	<strong>Do not</strong> choose this choice.	empty	<strong>Do not</strong> choose this choice.	empty	<strong>Do not</strong> choose this choice.	"<span class=""disease"">[disease P]</span> memory is thought to affect future <span class=""disease"">[disease P]</span> sensitivity and thus contribute to clinical <span class=""disease"">[disease P]</span> conditions. Systematic investigations of the human capacity to remember sensory features of experimental <span class=""disease"">[disease P]</span> are sparse. In order to address long-term <span class=""disease"">[disease P]</span> memory, nine healthy male volunteers received intradermal injections of three doses of <span class=""chemical"">[chemical A]</span> (0.05, 1 and 20 microg, separated by 15 min breaks), each given three times in a balanced design across three sessions at one week intervals. <span class=""disease"">[disease P]</span> rating was performed using a computerized visual analogue scale (0-100) digitized at 1/s, either immediately online or one hour or one day after injection. Subjects also recalled their <span class=""disease"">[disease P]</span> one week later. <span class=""chemical"">[chemical A]</span> injection reliably induced a dose-dependent flare (p<0.001) without any difference within or across sessions. The strong burning <span class=""disease"">[disease P]</span> decayed exponentially within a few minutes. Subjects were able to reliably discriminate <span class=""disease"">[disease P]</span> magnitude and duration across <span class=""chemical"">[chemical A]</span> doses (both p<0.001), regardless of whether first-time ratings were requested immediately, after one hour or after one day. <span class=""disease"">[disease P]</span> recall after one week was similarly precise (magnitude: p<0.01, duration: p<0.05). Correlation with rating recall after one week was best when first-time ratings were requested as late as one day after injection (R(2)=0.79) indicating that both rating retrievals utilized similar memory traces. These results indicate a reliable memory for magnitude and duration of experimentally induced <span class=""disease"">[disease P]</span>. The data further suggest that the consolidation of this memory is an important interim stage, and may take up to one day."	"Explicit episodic memory for sensory-discriminative components of <span class=""chemical"">[chemical A]</span>-induced <span class=""disease"">[disease P]</span>: immediate and delayed ratings."	19269743	bcv_id_8
D015742_induces_D010146	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	D015742_induces_D014474	"<span class=""chemical"">[chemical A]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	D013874_induces_D010146	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	D013874_induces_D014474	"<span class=""chemical"">[chemical B]</span> contributes to or plays a role in <span class=""disease"">[disease Q]</span>"	D008012_induces_D010146	"<span class=""chemical"">[chemical C]</span> contributes to or plays a role in <span class=""disease"">[disease P]</span>"	"This study investigated <span class=""chemical"">[chemical A]</span> injection <span class=""disease"">[disease P]</span> in patients undergoing ambulatory anaesthesia. In a randomized, double-blind trial, 90 women were allocated to receive one of three treatments prior to induction of anaesthesia with <span class=""chemical"">[chemical A]</span>. Patients in Group C received 2 ml normal saline, Group L, 2 ml, <span class=""chemical"">[chemical C]</span> 2% (40 mg) and Group T, 2 ml <span class=""chemical"">[chemical B]</span> 2.5% (50 mg). Venous discomfort was assessed with a visual analogue scale (VAS) 5-15 sec after commencing <span class=""chemical"">[chemical A]</span> administration using an infusion pump (rate 1000 micrograms.kg-1.min-1). <span class=""disease"">[disease Q]</span> occurred in 60-90 sec. Visual analogue scores (mean +/- SD) during induction were lower in Groups L (3.3 +/- 2.5) and T (4.1 +/- 2.7) than in Group C (5.6 +/- 2.3); P = 0.0031. The incidence of venous discomfort was lower in Group L (76.6%; P < 0.05) than in Group C (100%) but not different from Group T (90%). The VAS scores for recall of <span class=""disease"">[disease P]</span> in the recovery room were correlated with the VAS scores during induction (r = 0.7045; P < 0.0001). Recovery room discharge times were similar: C (75.9 +/- 19.4 min); L 73.6 +/- 21.6 min); T (77.1 +/- 18.9 min). Assessing their overall satisfaction, 89.7% would choose <span class=""chemical"">[chemical A]</span> anaesthesia again. We conclude that <span class=""chemical"">[chemical C]</span> reduces the incidence and severity of <span class=""chemical"">[chemical A]</span> injection <span class=""disease"">[disease P]</span> in ambulatory patients whereas <span class=""chemical"">[chemical B]</span> only reduces its severity."	"<span class=""chemical"">[chemical B]</span> pretreatment for <span class=""chemical"">[chemical A]</span> injection <span class=""disease"">[disease P]</span> in ambulatory patients."	8595686	bcv_id_9
