disease_id	disease_name	drug_id	drug_name	form_sentence	pmid	uniq_id
D016171	"<span class=""disease"">TDP</span>"	C063968	"<span class=""chemical"">E4031</span>"	"Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>."	11569530	bcv_easy_0
D016171	"<span class=""disease"">TDP</span>"	D020117	"<span class=""chemical"">cisapride</span>"	"Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031."	11569530	bcv_easy_1
D016171	"<span class=""disease"">TDP</span>"	D020117	"<span class=""chemical"">cisapride</span>"	"For compounds that have shown <span class=""disease"">TDP</span> in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins."	11569530	bcv_easy_2
D016171	"<span class=""disease"">TDP</span>"	D016593	"<span class=""chemical"">terfenadine</span>"	"<span class=""disease"">TDP</span> is a side-effect that has led to withdrawal of several drugs from the market (e.g. <span class=""chemical"">terfenadine</span> and terodiline)."	11569530	bcv_easy_3
D016171	"<span class=""disease"">TDP</span>"	D016593	"<span class=""chemical"">terfenadine</span>"	"Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: <span class=""chemical"">terfenadine</span>, terodiline, cisapride and E4031."	11569530	bcv_easy_4
D016171	"<span class=""disease"">TDP</span>"	D016593	"<span class=""chemical"">terfenadine</span>"	"For compounds that have shown <span class=""disease"">TDP</span> in the clinic (<span class=""chemical"">terfenadine</span>, terodiline, cisapride) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins."	11569530	bcv_easy_5
D016171	"<span class=""disease"">TDP</span>"	C010637	"<span class=""chemical"">terodiline</span>"	"<span class=""disease"">TDP</span> is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and <span class=""chemical"">terodiline</span>)."	11569530	bcv_easy_6
D016171	"<span class=""disease"">TDP</span>"	C010637	"<span class=""chemical"">terodiline</span>"	"Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, <span class=""chemical"">terodiline</span>, cisapride and E4031."	11569530	bcv_easy_7
D016171	"<span class=""disease"">TDP</span>"	C010637	"<span class=""chemical"">terodiline</span>"	"For compounds that have shown <span class=""disease"">TDP</span> in the clinic (terfenadine, <span class=""chemical"">terodiline</span>, cisapride) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins."	11569530	bcv_easy_8
D064420	"<span class=""disease"">toxicity</span>"	D017239	"<span class=""chemical"">paclitaxel</span>"	"METHODS: The objective of this study was to determine the feasibility, response rate, and <span class=""disease"">toxicity</span> of a <span class=""chemical"">paclitaxel</span>, cisplatin, and gemcitabine combination to treat metastatic NSCLC."	11135224	bcv_easy_9
D002289	"<span class=""disease"">nonsmall cell lung carcinoma</span>"	D017239	"<span class=""chemical"">Paclitaxel</span>"	"<span class=""chemical"">Paclitaxel</span>, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic <span class=""disease"">nonsmall cell lung carcinoma</span>."	11135224	bcv_easy_10
D002289	"<span class=""disease"">NSCLC</span>"	D017239	"<span class=""chemical"">paclitaxel</span>"	"METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a <span class=""chemical"">paclitaxel</span>, cisplatin, and gemcitabine combination to treat metastatic <span class=""disease"">NSCLC</span>."	11135224	bcv_easy_11
