_golden	chemical_id	chemical_name	disease_id	disease_name	form_abstract	form_title	old_cf_work_unit_id	original_job_id	pmid	uniq_id	verify_relationship_gold	verify_relationship_gold_reason
	D011692	"<span class=""chemical"">puromycin aminonucleoside</span>"	D011507	"<span class=""disease"">proteinuria</span>"	"Despite the increasing need to identify and quantify tissue oxygenation at the cellular level, relatively few methods have been available. In this study, we developed a new hypoxia-responsive reporter vector using a hypoxia-responsive element of the 5' vascular endothelial growth factor untranslated region and generated a novel hypoxia-sensing transgenic rat. We then applied this animal model to the detection of tubulointerstitial hypoxia in the diseased kidney. With this model, we were able to identify diffuse cortical hypoxia in the <span class=""chemical"">puromycin aminonucleoside</span>-induced nephrotic syndrome and focal and segmental hypoxia in the remnant kidney model. Expression of the hypoxia-responsive transgene increased throughout the observation period, reaching 2.2-fold at 2 weeks in the <span class=""chemical"">puromycin aminonucleoside</span> model and 2.6-fold at 4 weeks in the remnant kidney model, whereas that of vascular endothelial growth factor showed a mild decrease, reflecting distinct behaviors of the two genes. The degree of hypoxia showed a positive correlation with microscopic tubulointerstitial injury in both models. Finally, we identified the localization of proliferating cell nuclear antigen-positive, ED-1-positive, and terminal dUTP nick-end labeled-positive cells in the hypoxic cortical area in the remnant kidney model. We propose here a possible pathological tie between chronic tubulointerstitial hypoxia and progressive glomerular diseases."	"Hypoxia in renal disease with <span class=""disease"">proteinuria</span> and/or glomerular hypertension."			15579441	bcv_hard_0		
	D011692	"<span class=""chemical"">puromycin aminonucleoside</span>"	D007674	"<span class=""disease"">diseased kidney/glomerular diseases/renal disease</span>"	"Despite the increasing need to identify and quantify tissue oxygenation at the cellular level, relatively few methods have been available. In this study, we developed a new hypoxia-responsive reporter vector using a hypoxia-responsive element of the 5' vascular endothelial growth factor untranslated region and generated a novel hypoxia-sensing transgenic rat. We then applied this animal model to the detection of tubulointerstitial hypoxia in the <span class=""disease"">diseased kidney</span>. With this model, we were able to identify diffuse cortical hypoxia in the <span class=""chemical"">puromycin aminonucleoside</span>-induced nephrotic syndrome and focal and segmental hypoxia in the remnant kidney model. Expression of the hypoxia-responsive transgene increased throughout the observation period, reaching 2.2-fold at 2 weeks in the <span class=""chemical"">puromycin aminonucleoside</span> model and 2.6-fold at 4 weeks in the remnant kidney model, whereas that of vascular endothelial growth factor showed a mild decrease, reflecting distinct behaviors of the two genes. The degree of hypoxia showed a positive correlation with microscopic tubulointerstitial injury in both models. Finally, we identified the localization of proliferating cell nuclear antigen-positive, ED-1-positive, and terminal dUTP nick-end labeled-positive cells in the hypoxic cortical area in the remnant kidney model. We propose here a possible pathological tie between chronic tubulointerstitial hypoxia and progressive <span class=""disease"">glomerular diseases</span>."	"Hypoxia in <span class=""disease"">renal disease</span> with proteinuria and/or glomerular hypertension."			15579441	bcv_hard_1		
	D011692	"<span class=""chemical"">puromycin aminonucleoside</span>"	D006973	"<span class=""disease"">hypertension</span>"	"Despite the increasing need to identify and quantify tissue oxygenation at the cellular level, relatively few methods have been available. In this study, we developed a new hypoxia-responsive reporter vector using a hypoxia-responsive element of the 5' vascular endothelial growth factor untranslated region and generated a novel hypoxia-sensing transgenic rat. We then applied this animal model to the detection of tubulointerstitial hypoxia in the diseased kidney. With this model, we were able to identify diffuse cortical hypoxia in the <span class=""chemical"">puromycin aminonucleoside</span>-induced nephrotic syndrome and focal and segmental hypoxia in the remnant kidney model. Expression of the hypoxia-responsive transgene increased throughout the observation period, reaching 2.2-fold at 2 weeks in the <span class=""chemical"">puromycin aminonucleoside</span> model and 2.6-fold at 4 weeks in the remnant kidney model, whereas that of vascular endothelial growth factor showed a mild decrease, reflecting distinct behaviors of the two genes. The degree of hypoxia showed a positive correlation with microscopic tubulointerstitial injury in both models. Finally, we identified the localization of proliferating cell nuclear antigen-positive, ED-1-positive, and terminal dUTP nick-end labeled-positive cells in the hypoxic cortical area in the remnant kidney model. We propose here a possible pathological tie between chronic tubulointerstitial hypoxia and progressive glomerular diseases."	"Hypoxia in renal disease with proteinuria and/or glomerular <span class=""disease"">hypertension</span>."			15579441	bcv_hard_2		
	D002752	"<span class=""chemical"">chlorthalidone</span>"	D003327	"<span class=""disease"">coronary disease</span>"	"It has been proposed that modest changes in plasma potassium can alter the tendency towards cardiac arrhythmias. If this were so, patients with coronary artery disease might be especially susceptible. Thus, myocardial electrical excitability was measured in patients with mild essential hypertension and known coronary artery disease after 8 weeks of treatment with a potassium-conserving diuretic (amiloride) and a similar period on a potassium-losing diuretic (<span class=""chemical"">chlorthalidone</span>) in a randomised study. Plasma potassium concentrations were on average 1 mmol/L lower during the <span class=""chemical"">chlorthalidone</span> phase compared to amiloride therapy. Blood pressure and volume states as assessed by bodyweight, plasma renin and noradrenaline (norepinephrine) concentrations were similar on the 2 regimens. Compared to amiloride treatment, the <span class=""chemical"">chlorthalidone</span> phase was associated with an increased frequency of ventricular ectopic beats (24-hour Holter monitoring) and a higher Lown grading, increased upslope and duration of the monophasic action potential, prolonged ventricular effective refractory period, and increased electrical instability during programmed ventricular stimulation. The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with ischaemic heart disease, even minor falls in plasma potassium concentrations are probably best avoided in such patients."	"Diuretics, potassium and arrhythmias in hypertensive <span class=""disease"">coronary disease</span>."			3732088	bcv_hard_3		
	D002752	"<span class=""chemical"">chlorthalidone</span>"	D017202	"<span class=""disease"">ischaemic heart disease</span>"	"It has been proposed that modest changes in plasma potassium can alter the tendency towards cardiac arrhythmias. If this were so, patients with coronary artery disease might be especially susceptible. Thus, myocardial electrical excitability was measured in patients with mild essential hypertension and known coronary artery disease after 8 weeks of treatment with a potassium-conserving diuretic (amiloride) and a similar period on a potassium-losing diuretic (<span class=""chemical"">chlorthalidone</span>) in a randomised study. Plasma potassium concentrations were on average 1 mmol/L lower during the <span class=""chemical"">chlorthalidone</span> phase compared to amiloride therapy. Blood pressure and volume states as assessed by bodyweight, plasma renin and noradrenaline (norepinephrine) concentrations were similar on the 2 regimens. Compared to amiloride treatment, the <span class=""chemical"">chlorthalidone</span> phase was associated with an increased frequency of ventricular ectopic beats (24-hour Holter monitoring) and a higher Lown grading, increased upslope and duration of the monophasic action potential, prolonged ventricular effective refractory period, and increased electrical instability during programmed ventricular stimulation. The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with <span class=""disease"">ischaemic heart disease</span>, even minor falls in plasma potassium concentrations are probably best avoided in such patients."	Diuretics, potassium and arrhythmias in hypertensive coronary disease.			3732088	bcv_hard_4		
	D009638	"<span class=""chemical"">noradrenaline/norepinephrine</span>"	D001145	"<span class=""disease"">arrhythmias/cardiac arrhythmias</span>"	"It has been proposed that modest changes in plasma potassium can alter the tendency towards <span class=""disease"">cardiac arrhythmias</span>. If this were so, patients with coronary artery disease might be especially susceptible. Thus, myocardial electrical excitability was measured in patients with mild essential hypertension and known coronary artery disease after 8 weeks of treatment with a potassium-conserving diuretic (amiloride) and a similar period on a potassium-losing diuretic (chlorthalidone) in a randomised study. Plasma potassium concentrations were on average 1 mmol/L lower during the chlorthalidone phase compared to amiloride therapy. Blood pressure and volume states as assessed by bodyweight, plasma renin and <span class=""chemical"">noradrenaline</span> (<span class=""chemical"">norepinephrine</span>) concentrations were similar on the 2 regimens. Compared to amiloride treatment, the chlorthalidone phase was associated with an increased frequency of ventricular ectopic beats (24-hour Holter monitoring) and a higher Lown grading, increased upslope and duration of the monophasic action potential, prolonged ventricular effective refractory period, and increased electrical instability during programmed ventricular stimulation. The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with ischaemic heart disease, even minor falls in plasma potassium concentrations are probably best avoided in such patients."	"Diuretics, potassium and <span class=""disease"">arrhythmias</span> in hypertensive coronary disease."			3732088	bcv_hard_5		
	D009638	"<span class=""chemical"">noradrenaline/norepinephrine</span>"	D017202	"<span class=""disease"">ischaemic heart disease</span>"	"It has been proposed that modest changes in plasma potassium can alter the tendency towards cardiac arrhythmias. If this were so, patients with coronary artery disease might be especially susceptible. Thus, myocardial electrical excitability was measured in patients with mild essential hypertension and known coronary artery disease after 8 weeks of treatment with a potassium-conserving diuretic (amiloride) and a similar period on a potassium-losing diuretic (chlorthalidone) in a randomised study. Plasma potassium concentrations were on average 1 mmol/L lower during the chlorthalidone phase compared to amiloride therapy. Blood pressure and volume states as assessed by bodyweight, plasma renin and <span class=""chemical"">noradrenaline</span> (<span class=""chemical"">norepinephrine</span>) concentrations were similar on the 2 regimens. Compared to amiloride treatment, the chlorthalidone phase was associated with an increased frequency of ventricular ectopic beats (24-hour Holter monitoring) and a higher Lown grading, increased upslope and duration of the monophasic action potential, prolonged ventricular effective refractory period, and increased electrical instability during programmed ventricular stimulation. The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with <span class=""disease"">ischaemic heart disease</span>, even minor falls in plasma potassium concentrations are probably best avoided in such patients."	Diuretics, potassium and arrhythmias in hypertensive coronary disease.			3732088	bcv_hard_6		
	D002752	"<span class=""chemical"">chlorthalidone</span>"	D001145	"<span class=""disease"">arrhythmias/cardiac arrhythmias</span>"	"It has been proposed that modest changes in plasma potassium can alter the tendency towards <span class=""disease"">cardiac arrhythmias</span>. If this were so, patients with coronary artery disease might be especially susceptible. Thus, myocardial electrical excitability was measured in patients with mild essential hypertension and known coronary artery disease after 8 weeks of treatment with a potassium-conserving diuretic (amiloride) and a similar period on a potassium-losing diuretic (<span class=""chemical"">chlorthalidone</span>) in a randomised study. Plasma potassium concentrations were on average 1 mmol/L lower during the <span class=""chemical"">chlorthalidone</span> phase compared to amiloride therapy. Blood pressure and volume states as assessed by bodyweight, plasma renin and noradrenaline (norepinephrine) concentrations were similar on the 2 regimens. Compared to amiloride treatment, the <span class=""chemical"">chlorthalidone</span> phase was associated with an increased frequency of ventricular ectopic beats (24-hour Holter monitoring) and a higher Lown grading, increased upslope and duration of the monophasic action potential, prolonged ventricular effective refractory period, and increased electrical instability during programmed ventricular stimulation. The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with ischaemic heart disease, even minor falls in plasma potassium concentrations are probably best avoided in such patients."	"Diuretics, potassium and <span class=""disease"">arrhythmias</span> in hypertensive coronary disease."			3732088	bcv_hard_7		
	D009638	"<span class=""chemical"">noradrenaline/norepinephrine</span>"	D003324	"<span class=""disease"">coronary artery disease</span>"	"It has been proposed that modest changes in plasma potassium can alter the tendency towards cardiac arrhythmias. If this were so, patients with <span class=""disease"">coronary artery disease</span> might be especially susceptible. Thus, myocardial electrical excitability was measured in patients with mild essential hypertension and known <span class=""disease"">coronary artery disease</span> after 8 weeks of treatment with a potassium-conserving diuretic (amiloride) and a similar period on a potassium-losing diuretic (chlorthalidone) in a randomised study. Plasma potassium concentrations were on average 1 mmol/L lower during the chlorthalidone phase compared to amiloride therapy. Blood pressure and volume states as assessed by bodyweight, plasma renin and <span class=""chemical"">noradrenaline</span> (<span class=""chemical"">norepinephrine</span>) concentrations were similar on the 2 regimens. Compared to amiloride treatment, the chlorthalidone phase was associated with an increased frequency of ventricular ectopic beats (24-hour Holter monitoring) and a higher Lown grading, increased upslope and duration of the monophasic action potential, prolonged ventricular effective refractory period, and increased electrical instability during programmed ventricular stimulation. The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with ischaemic heart disease, even minor falls in plasma potassium concentrations are probably best avoided in such patients."	Diuretics, potassium and arrhythmias in hypertensive coronary disease.			3732088	bcv_hard_8		
	D009638	"<span class=""chemical"">noradrenaline/norepinephrine</span>"	D003327	"<span class=""disease"">coronary disease</span>"	"It has been proposed that modest changes in plasma potassium can alter the tendency towards cardiac arrhythmias. If this were so, patients with coronary artery disease might be especially susceptible. Thus, myocardial electrical excitability was measured in patients with mild essential hypertension and known coronary artery disease after 8 weeks of treatment with a potassium-conserving diuretic (amiloride) and a similar period on a potassium-losing diuretic (chlorthalidone) in a randomised study. Plasma potassium concentrations were on average 1 mmol/L lower during the chlorthalidone phase compared to amiloride therapy. Blood pressure and volume states as assessed by bodyweight, plasma renin and <span class=""chemical"">noradrenaline</span> (<span class=""chemical"">norepinephrine</span>) concentrations were similar on the 2 regimens. Compared to amiloride treatment, the chlorthalidone phase was associated with an increased frequency of ventricular ectopic beats (24-hour Holter monitoring) and a higher Lown grading, increased upslope and duration of the monophasic action potential, prolonged ventricular effective refractory period, and increased electrical instability during programmed ventricular stimulation. The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with ischaemic heart disease, even minor falls in plasma potassium concentrations are probably best avoided in such patients."	"Diuretics, potassium and arrhythmias in hypertensive <span class=""disease"">coronary disease</span>."			3732088	bcv_hard_9		
