_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_verify_relationship,_worker_confidence,verify_relationship_gold,verify_relationship_gold_reason,worker_confidence_gold,worker_confidence_gold_reason,disease_id,disease_name,drug_id,drug_name,form_abstract,form_title,pmid,uniq_id,comment_box_gold_reason
756391641,0.30,37,false,"",0.0,,"","",no_relation,"The scientists investigated how genetics contributes to withdrawal effects experienced by a mouse. They gave three chemicals (nicotine, carbachol, and neostigmine) to two types of mice and observed whether the mice got tremors. They also gave the mice potassium as a control, but the potassium was not what caused the tremors.","very_confident
confident
not_too_confident
not_confident","",D014202,"<span class=""disease"">tremor</span>",D011188,"<span class=""chemical"">potassium</span>","<p>BACKGROUND: The septo-hippocampal cholinergic pathway has been implicated in epileptogenesis, and genetic factors influence the response to cholinergic agents, but limited data are available on cholinergic involvement in alcohol withdrawal severity. Thus, the relationship between cholinergic activity and responsiveness and alcohol withdrawal was investigated in a genetic animal model of ethanol withdrawal severity. </p><p>METHODS: Cholinergic convulsant sensitivity was examined in alcohol-na  ve Withdrawal Seizure-Prone (WSP) and-Resistant (WSR) mice. Animals were administered nicotine, carbachol, or neostigmine via timed tail vein infusion, and the latencies to onset of <span class=""disease"">tremor</span> and clonus were recorded and converted to threshold dose. We also used microdialysis to measure basal and <span class=""chemical"">potassium</span>-stimulated acetylcholine (ACh) release in the CA1 region of the hippocampus. <span class=""chemical"">Potassium</span> was applied by reverse dialysis twice, separated by 75 min. Hippocampal ACh also was measured during testing for handling-induced convulsions. </p><p>RESULTS: Sensitivity to several convulsion endpoints induced by nicotine, carbachol, and neostigmine were significantly greater in WSR versus WSP mice. In microdialysis experiments, the lines did not differ in basal release of ACh, and 50 mM KCl increased ACh output in both lines of mice. However, the increase in release of ACh produced by the first application of KCl was 2-fold higher in WSP versus WSR mice. When hippocampal ACh was measured during testing for handling-induced convulsions, extracellular ACh was significantly elevated (192%) in WSP mice, but was nonsignificantly elevated (59%) in WSR mice. </p><p>CONCLUSIONS: These results suggest that differences in cholinergic activity and postsynaptic sensitivity to cholinergic convulsants may be associated with ethanol withdrawal severity and implicate cholinergic mechanisms in alcohol withdrawal. Specifically, WSP mice may have lower sensitivity to cholinergic convulsants compared with WSR because of postsynaptic receptor desensitization brought on by higher activity of cholinergic neurons.</p>",The relationship between hippocampal acetylcholine release and cholinergic convulsant sensitivity in withdrawal seizure-prone and withdrawal seizure-resistant selected mouse lines.,12198388,bcv_hard_59,""
756398159,0.25,36,false,"",0.0,,"","",no_relation,"Women already with osteopenia were given the chemical raloxifene hydrochloride to see if the chemical had any effect on the levels of some proteins. The text says that the women already had osteopenia before they were included in the study, and therefore raloxifene doesn't cause osteopenia.","very_confident
confident
not_too_confident
not_confident","",D001851,"<span class=""disease"">osteopenia</span>",D020849,"<span class=""chemical"">raloxifene/raloxifene hydrochloride</span>","<p>BACKGROUND: Markers of fibrinolysis, thrombin-activatable fibrinolysis inhibitor (TAFI), tissue-type plasminogen activator (tPA), and plasminogen activator inhibitor-1 (PAI-1) levels were studied for the evaluation of short-term effects of <span class=""chemical"">raloxifene</span> administration in postmenopausal women. </p><p>METHODS: Thirty-nine postmenopausal women with <span class=""disease"">osteopenia</span> or osteoporosis were included in this prospective, controlled clinical study. Twenty-five women were given <span class=""chemical"">raloxifene hydrochloride</span> (60 mg/day) plus calcium (500 mg/day). Age-matched controls (n = 14) were given only calcium. Plasma TAFI, tPA, and PAI-1 antigen levels were measured at baseline and after 3 months of treatment by commercially available ELISA kits. Variations of individuals were assessed by Wilcoxon's test. Relationship between those markers and demographic characteristics were investigated. </p><p>RESULTS: Three months of <span class=""chemical"">raloxifene</span> treatment was associated with a significant decrease in the plasma TAFI antigen concentrations (16% change, P < 0.01), and a significant increase in tPA antigen concentrations (25% change, P < 0.05). A significant correlation was found between baseline TAFI antigen concentrations and the duration of amenorrhea (P < 0.05; r = 0.33). </p><p>CONCLUSION: We suggest that the increased risk of venous thromboembolism due to <span class=""chemical"">raloxifene</span> treatment may be related to increased tPA levels, but not TAFI levels.</p>","The effects of short-term <span class=""chemical"">raloxifene</span> therapy on fibrinolysis markers: TAFI, tPA, and PAI-1.",16167916,bcv_hard_92,""
756399808,0.23,39,false,"",0.0,,"","",no_relation,The text doesn't say that thiazide has anything to do with heart failure.,"very_confident
confident
not_too_confident
not_confident","",D006333,"<span class=""disease"">heart failure</span>",D049971,"<span class=""chemical"">thiazide</span>","<p>BACKGROUND: A previous randomized controlled trial evaluating the use of spironolactone in <span class=""disease"">heart failure</span> patients reported a low risk of hyperkalemia (2%) and renal insufficiency (0%). Because treatments for <span class=""disease"">heart failure</span> have changed since the benefits of spironolactone were reported, the prevalence of these complications may differ in current clinical practice. We therefore sought to determine the prevalence and clinical associations of hyperkalemia and renal insufficiency in <span class=""disease"">heart failure</span> patients treated with spironolactone. </p><p>METHODS: We performed a case control study of <span class=""disease"">heart failure</span> patients treated with spironolactone in our clinical practice. Cases were patients who developed hyperkalemia (K(+) >5.0 mEq/L) or renal insufficiency (Cr >or=2.5 mg/dL), and they were compared to 2 randomly selected controls per case. Clinical characteristics, medications, and serum chemistries at baseline and follow-up time periods were compared. </p><p>RESULTS: Sixty-seven of 926 patients (7.2%) required discontinuation of spironolactone due to hyperkalemia (n = 33) or renal failure (n = 34). Patients who developed hyperkalemia were older and more likely to have diabetes, had higher baseline serum potassium levels and lower baseline potassium supplement doses, and were more likely to be treated with beta-blockers than controls (n = 134). Patients who developed renal insufficiency had lower baseline body weight and higher baseline serum creatinine, required higher doses of loop diuretics, and were more likely to be treated with <span class=""chemical"">thiazide</span> diuretics than controls. </p><p>CONCLUSIONS: Spironolactone-induced hyperkalemia and renal insufficiency are more common in our clinical experience than reported previously. This difference is explained by patient comorbidities and more frequent use of beta-blockers.</p>","Spironolactone-induced renal insufficiency and hyperkalemia in patients with <span class=""disease"">heart failure</span>.",15632880,bcv_hard_46,""
756400982,0.67,42,false,"This treatment is composed of three drugs, hence is WRONG to affirm that this ONE drug (paclitaxel) caused death in the patient
This treatment is composed of three drugs, hence is WRONG to affirm that this ONE drug (paclitaxel) caused death in the patient",0.0476,,"","",yes_direct,"One of the patients receiving the treatment of paclitaxel, cisplatin, and gemcitabine died.","very_confident
confident
not_too_confident
not_confident","",D003643,"<span class=""disease"">death</span>",D017239,"<span class=""chemical"">Paclitaxel</span>","<p>BACKGROUND: Cisplatin-based chemotherapy combinations improve quality of life and survival in advanced nonsmall cell lung carcinoma (NSCLC). The emergence of new active drugs might translate into more effective regimens for the treatment of this disease. </p><p>METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a <span class=""chemical"">paclitaxel</span>, cisplatin, and gemcitabine combination to treat metastatic NSCLC. Thirty-five consecutive chemotherapy-naive patients with Stage IV NSCLC and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of <span class=""chemical"">paclitaxel</span> (135 mg/m(2) given intravenously in 3 hours) on Day 1, cisplatin (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks. Although responding patients were scheduled to receive consolidation radiotherapy and 24 patients received preplanned second-line chemotherapy after disease progression, the response and toxicity rates reported refer only to the chemotherapy regimen given. </p><p>RESULTS: All the patients were examined for toxicity; 34 were examinable for response. An objective response was observed in 73.5% of the patients (95% confidence interval [CI], 55.6-87.1%), including 4 complete responses (11.7%). According to intention-to-treat, the overall response rate was 71.4% (95% CI, 53. 7-85.4%). After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for <span class=""chemical"">paclitaxel</span> (97.3%), 117 mg/m(2) for cisplatin (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%). World Health Organization Grade 3-4 neutropenia and thrombocytopenia occurred in 39.9% and 11.4% of patients, respectively. There was one treatment-related <span class=""disease"">death</span>. Nonhematologic toxicities were mild. After a median follow-up of 22 months, the median progression free survival rate was 7 months, and the median survival time was 16 months. </p><p>CONCLUSIONS: The combination of <span class=""chemical"">paclitaxel</span>, cisplatin, and gemcitabine is well tolerated and shows high activity in metastatic NSCLC. This treatment merits further comparison with other cisplatin-based regimens.</p>","<span class=""chemical"">Paclitaxel</span>, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic nonsmall cell lung carcinoma.",11135224,bcv_hard_5,""
756405204,0.29,42,false,"mechanical entropion is a consequence of Upper lid retraction, which is a side effect of the drug, not a direct effect.",0.0238,,"","",yes_direct,"One subject developed ""mechanical entropion"" after administration of apraclonidine.","very_confident
confident
not_too_confident
not_confident","",D004774,"<span class=""disease"">entropion</span>",C016986,"<span class=""chemical"">apraclonidine/aponidine hydrochloride</span>","We prospectively evaluated the adverse reactions of <span class=""chemical"">apraclonidine</span> in 20 normal volunteers by instilling a single drop of 1% <span class=""chemical"">apraclonidine</span> in their right eyes. Examinations, including blood pressure, pulse rate, conjunctiva and cornea, intraocular pressure (IOP), pupil diameter, basal tear secretion and margin reflex distance of both upper and lower eyelids, were performed prior to entry and at 1, 3, 5 and 7 hours after instillation. The ocular hypotensive effects were statistically significant for <span class=""chemical"">apraclonidine</span>-treated eyes throughout the study and also statistically significant for contralateral eyes from three hours after topical administration of 1% <span class=""chemical"">apraclonidine</span>. Decreases in systolic blood pressure were statistically, but not clinically, significant. No significant changes in diastolic blood pressure, pulse rate and basal tear secretion were noted. Conjunctival blanching and mydriasis were commonly found. Upper lid retraction was frequently noted. While the elevations of the upper lid margin in most subjects were not more than 2 mm and did not cause noticeable change in appearance, one subject suffered from mechanical <span class=""disease"">entropion</span> and marked corneal abrasion 3 hours after instillation of the medication. This may well be a particularly notable finding in Asian people.","Evaluation of adverse reactions of <span class=""chemical"">aponidine hydrochloride</span> ophthalmic solution.",8590259,bcv_hard_54,""
756407799,0.54,41,false,"Spironolactone then hyperkalemia then diabetes!!!! please fix it!!!
Spironolactone then hyperkalemia then diabetes!!!! please fix it!!! 
Spironolactone then hyperkalemia then diabetes!!!! please fix it!!!",0.0732,,"","",no_relation,"The results section says that the patients who developed hyperkalemia after receiving spironolactone were more likely to have diabetes. This means that the patients already had diabetes before receiving spironolactone, and therefore spironolactone did not cause their diabetes.","very_confident
confident
not_too_confident
not_confident","",D003920,"<span class=""disease"">diabetes</span>",D013148,"<span class=""chemical"">Spironolactone</span>","<p>BACKGROUND: A previous randomized controlled trial evaluating the use of <span class=""chemical"">spironolactone</span> in heart failure patients reported a low risk of hyperkalemia (2%) and renal insufficiency (0%). Because treatments for heart failure have changed since the benefits of <span class=""chemical"">spironolactone</span> were reported, the prevalence of these complications may differ in current clinical practice. We therefore sought to determine the prevalence and clinical associations of hyperkalemia and renal insufficiency in heart failure patients treated with <span class=""chemical"">spironolactone</span>. </p><p>METHODS: We performed a case control study of heart failure patients treated with <span class=""chemical"">spironolactone</span> in our clinical practice. Cases were patients who developed hyperkalemia (K(+) >5.0 mEq/L) or renal insufficiency (Cr >or=2.5 mg/dL), and they were compared to 2 randomly selected controls per case. Clinical characteristics, medications, and serum chemistries at baseline and follow-up time periods were compared. </p><p>RESULTS: Sixty-seven of 926 patients (7.2%) required discontinuation of <span class=""chemical"">spironolactone</span> due to hyperkalemia (n = 33) or renal failure (n = 34). Patients who developed hyperkalemia were older and more likely to have <span class=""disease"">diabetes</span>, had higher baseline serum potassium levels and lower baseline potassium supplement doses, and were more likely to be treated with beta-blockers than controls (n = 134). Patients who developed renal insufficiency had lower baseline body weight and higher baseline serum creatinine, required higher doses of loop diuretics, and were more likely to be treated with thiazide diuretics than controls. </p><p>CONCLUSIONS: <span class=""chemical"">Spironolactone</span>-induced hyperkalemia and renal insufficiency are more common in our clinical experience than reported previously. This difference is explained by patient comorbidities and more frequent use of beta-blockers.</p>","<span class=""chemical"">Spironolactone</span>-induced renal insufficiency and hyperkalemia in patients with heart failure.",15632880,bcv_hard_49,""
756407881,0.31,45,false,"",0.0,,"","",yes_direct,The title says that pilocarpine induces epilepsy.,"very_confident
confident
not_too_confident
not_confident","",D004827,"<span class=""disease"">epilepsy</span>",D010862,"<span class=""chemical"">pilocarpine</span>","Mitochondrial abnormalities have been associated with several aspects of epileptogenesis, such as energy generation, control of cell death, neurotransmitter synthesis, and free radical (FR) production. Increased production of FRs may cause mtDNA damage leading to decreased activities of oxidative phosphorylation complexes containing mtDNA-encoded subunits. In this study, we investigated whether increased generation of FR during status epilepticus would be sufficient to provoke abnormalities in mtDNA and in the expression and activity of cytochrome c oxidase (CCO), complex IV of the respiratory chain, in the chronic phase of the <span class=""chemical"">pilocarpine</span> model of temporal lobe epilepsy. DNA analysis revealed low amounts of a 4.8 kb mtDNA deletion but with no differences in frequency or quantity in the control and experimental groups. We did not find abnormalities in the expression and distribution of an mtDNA-encoded subunit of CCO (CCO-I) or a relative decrease in CCO-I when compared with nuclear-encoded subunits (CCO-IV and SDH-fp). No abnormality in CCO activity was observed through histochemistry. Although evidences of mitochondrial abnormalities were found in previously published studies, our results do not suggest that the FRs, generated during the acute phase, determined important abnormalities in mtDNA, in expression of CCO-I, and in CCO activity.","Investigation of mitochondrial involvement in the experimental model of <span class=""disease"">epilepsy</span> induced by <span class=""chemical"">pilocarpine</span>.",16337777,bcv_hard_24,""
756407963,0.78,45,false,"Copy-pasting from the text: &amp;quot;Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, cisapride and E4031.&amp;quot;
Cisapride is known to cause increase in QT interval, QT interval is a cause of TDP which is oviously a form of ventricular tachycardia 
&amp;quot;Torsades de pointes (TDP) is a potentially fatal ventricular tachycardia&amp;quot; &amp;quot;Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, cisapride and E4031&amp;quot; &amp;quot;For compounds that have shown TDP in the clinic (terfenadine, terodiline, cisapride)&amp;quot;. We can conclude that cisapride  increases QT interval and causes TDP. TDP is a potentially fatal ventricular tachycardia. Therefore, cisapride  causes ventricular tachycardia.
But Torsades de Pointes is a type of Ventricular Tachycardia, so cisapride is directly involved and contributes to it as per the text. It does say this. 
&amp;quot;These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), CISAPRIDE (11 nM) and E4031 (1.9 nM) CLOSELY CORRELATE with the free concentration in man causing QT effects. &amp;quot; 
&amp;quot;Torsades de pointes (TDP) is a potentially fatal ventricular tachycardia ASSOCIATED WITH INCREASE IN QT interval and monophasic action potential duration (MAPD).&amp;quot;
Base on these two statements I concluded that  Cisapride contributes to another disease (QT) which causes ventricular tachycardia. Please check.
&amp;quot;These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), CISAPRIDE (11 nM) and E4031 (1.9 nM) CLOSELY CORRELATE with the free concentration in man causing QT effects. &amp;quot; &amp;quot;Torsades de pointes (TDP) is a potentially fatal ventricular tachycardia ASSOCIATED WITH INCREASE IN QT interval and monophasic action potential duration (MAPD).&amp;quot; Base on these two statements I concluded that Cisapride contributes to another disease (QT) which causes ventricular tachycardia. Please check.",0.1111,,"","",no_relation,"Cisapride causes torsades de pointes, and torsades de pointes is a type of ventricular tachycardia. However, the text never says that cisapride causes ventricular tachycardia.","very_confident
confident
not_too_confident
not_confident","",D017180,"<span class=""disease"">ventricular tachycardia</span>",D020117,"<span class=""chemical"">cisapride</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), <span class=""chemical"">cisapride</span> (11 nM) and E4031 (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, <span class=""chemical"">cisapride</span>, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_1,""
756408483,0.19,47,false,only one patient,0.0213,,"","",yes_direct,One patient developed corneal abrasion 3 hours after taking apraclonidine.,"very_confident
confident
not_too_confident
not_confident","",D003316,"<span class=""disease"">corneal abrasion</span>",C016986,"<span class=""chemical"">apraclonidine/aponidine hydrochloride</span>","We prospectively evaluated the adverse reactions of <span class=""chemical"">apraclonidine</span> in 20 normal volunteers by instilling a single drop of 1% <span class=""chemical"">apraclonidine</span> in their right eyes. Examinations, including blood pressure, pulse rate, conjunctiva and cornea, intraocular pressure (IOP), pupil diameter, basal tear secretion and margin reflex distance of both upper and lower eyelids, were performed prior to entry and at 1, 3, 5 and 7 hours after instillation. The ocular hypotensive effects were statistically significant for <span class=""chemical"">apraclonidine</span>-treated eyes throughout the study and also statistically significant for contralateral eyes from three hours after topical administration of 1% <span class=""chemical"">apraclonidine</span>. Decreases in systolic blood pressure were statistically, but not clinically, significant. No significant changes in diastolic blood pressure, pulse rate and basal tear secretion were noted. Conjunctival blanching and mydriasis were commonly found. Upper lid retraction was frequently noted. While the elevations of the upper lid margin in most subjects were not more than 2 mm and did not cause noticeable change in appearance, one subject suffered from mechanical entropion and marked <span class=""disease"">corneal abrasion</span> 3 hours after instillation of the medication. This may well be a particularly notable finding in Asian people.","Evaluation of adverse reactions of <span class=""chemical"">aponidine hydrochloride</span> ophthalmic solution.",8590259,bcv_hard_51,""
756408661,0.29,45,false,"",0.0,,"","",no_relation,The text says that myopathy improvement occurred after treatment with prednisolone. Therefore prednisolone had a positive effect.,"very_confident
confident
not_too_confident
not_confident","",D009135,"<span class=""disease"">myopathy</span>",D011239,"<span class=""chemical"">prednisolone</span>","Statins can cause a necrotizing <span class=""disease"">myopathy</span> and hyperCKaemia which is reversible on cessation of the drug. What is less well known is a phenomenon whereby statins may induce a <span class=""disease"">myopathy</span>, which persists or may progress after stopping the drug. We investigated the muscle pathology in 8 such cases. All had myofibre necrosis but only 3 had an inflammatory infiltrate. In all cases there was diffuse or multifocal up-regulation of MHC-I expression even in non-necrotic fibres. Progressive improvement occurred in 7 cases after commencement of <span class=""chemical"">prednisolone</span> and methotrexate, and in one case spontaneously. These observations suggest that statins may initiate an immune-mediated <span class=""disease"">myopathy</span> that persists after withdrawal of the drug and responds to immunosuppressive therapy. The mechanism of this <span class=""disease"">myopathy</span> is uncertain but may involve the induction by statins of an endoplasmic reticulum stress response with associated up-regulation of MHC-I expression and antigen presentation by muscle fibres.","Progressive <span class=""disease"">myopathy</span> with up-regulation of MHC-I associated with statin therapy.",17241784,bcv_hard_31,""
