_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_verify_relationship,_worker_confidence,verify_relationship_gold,verify_relationship_gold_reason,worker_confidence_gold,worker_confidence_gold_reason,disease_id,disease_name,drug_id,drug_name,form_sentence,pmid,uniq_id,comment_box_gold_reason
759146854,0.21,28,false,"",0.0,,"","",no_relation,"From this sentence we can only conclude that some patients with migraines had the chemical ""nitroglycerin"" applied to their foreheads. The sentence does not say that the nitroglycerin caused the migraines; the study might be trying to cure migraines with nitroglycerin, but we cannot tell based on this sentence alone.","very_confident
confident
not_too_confident
not_confident","",D008881,"<span class=""disease"">migraine</span>",D005996,"<span class=""chemical"">nitroglycerin</span>","Twenty common <span class=""disease"">migraine</span> patients received a one sided frontotemporal application of <span class=""chemical"">nitroglycerin</span> (10 patients) or placebo ointment (10 patients) in a double blind study.",2515254,bcv_easy_114,""
759160406,0.26,19,false,"",0.0,,"","",no_relation,"The sentence seems to suggest that cisplatin is having a beneficial effect on the disease ""NSCLC"", based on its use of ""well tolerated"" and ""high activity"". The sentence doesn't seem to be saying that cisplatin is causing NSCLC.","very_confident
confident
not_too_confident
not_confident","",D002289,"<span class=""disease"">NSCLC</span>",D002945,"<span class=""chemical"">cisplatin</span>","CONCLUSIONS: The combination of paclitaxel, <span class=""chemical"">cisplatin</span>, and gemcitabine is well tolerated and shows high activity in metastatic <span class=""disease"">NSCLC</span>.",11135224,bcv_easy_19,""
759180864,0.45,33,false,"Antithymocyte globulin directly contributes to or causes aplastic anemia
well this was unfair, I think that you wrong ",0.0606,,"","",no_relation,"This sentence says antithymocyte globulin is being used as a ""treatment"" for a ""aplastic anemia"", which was caused by another chemical, ""D-penicillamine"".","very_confident
confident
not_too_confident
not_confident","",D000741,"<span class=""disease"">aplastic anemia</span>",D000961,"<span class=""chemical"">Antithymocyte globulin</span>","<span class=""chemical"">Antithymocyte globulin</span> in the treatment of D-penicillamine-induced <span class=""disease"">aplastic anemia</span>.",12041669,bcv_easy_126,""
759193721,0.11,27,false,"",0.0,,"","",yes_direct,"Another chemical, ""thiopentone"", is being used as a ""pretreatment"" for ""propofol injection pain"". We can conclude that propofol is causing pain.","very_confident
confident
not_too_confident
not_confident","",D010146,"<span class=""disease"">pain</span>",D015742,"<span class=""chemical"">propofol</span>","Thiopentone pretreatment for <span class=""chemical"">propofol</span> injection <span class=""disease"">pain</span> in ambulatory patients.",8595686,bcv_easy_35,""
759202840,0.31,26,false,"But on its own it would not cause them, and since only FANFT is highlighted I chose &amp;quot;does not contribute or cause&amp;quot;...",0.0385,,"","",yes_direct,"Giving two chemicals together (aspirin and FANFT) to rats decreased bladder carcinomas but caused an increase in ""forestomach tumors"". Therefore FANFT is causing forestomach tumors somehow in combination with aspirin.","very_confident
confident
not_too_confident
not_confident","",D013274,"<span class=""disease"">forestomach tumors</span>",D005200,"<span class=""chemical"">FANFT/N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide</span>","The co-administration of aspirin with <span class=""chemical"">N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide</span> (<span class=""chemical"">FANFT</span>) to rats resulted in a reduced incidence of <span class=""chemical"">FANFT</span>-induced bladder carcinomas but a concomitant induction of <span class=""disease"">forestomach tumors</span>.",6692345,bcv_easy_140,""
759209912,0.11,19,false,"",0.0,,"","",yes_direct,There was an increase in hearing loss after bupivacaine use.,"very_confident
confident
not_too_confident
not_confident","",D034381,"<span class=""disease"">hearing loss</span>",D002045,"<span class=""chemical"">bupivacaine</span>","The average <span class=""disease"">hearing loss</span> for speech frequencies was about 10 dB after prilocaine and 15 dB after <span class=""chemical"">bupivacaine</span>.",9522143,bcv_easy_70,""
759227773,0.19,32,false,"",0.0,,"","",no_relation,Lidocaine reduces the pain.,"very_confident
confident
not_too_confident
not_confident","",D010146,"<span class=""disease"">pain</span>",D008012,"<span class=""chemical"">lidocaine</span>","We conclude that <span class=""chemical"">lidocaine</span> reduces the incidence and severity of propofol injection <span class=""disease"">pain</span> in ambulatory patients whereas thiopentone only reduces its severity.",8595686,bcv_easy_40,""
759237645,0.15,26,false,"",0.0,,"","",no_relation,"The ""bronchodilator effects"" (ability to make lung passages wider) of ""ipratropium bromide"" and ""theophylline"" were compared in 21 patients who already had ""chronic obstructive pulmonary disease"". The sentence actually suggests that ipratropium bromide is being tested as a treatment for chronic obstructive pulmonary disease (narrow and blocked lung passages) because the chemical widens lung passages.","very_confident
confident
not_too_confident
not_confident","",D029424,"<span class=""disease"">chronic obstructive pulmonary disease</span>",D009241,"<span class=""chemical"">ipratropium bromide</span>","The bronchodilator effects of a single dose of <span class=""chemical"">ipratropium bromide</span> aerosol (36 micrograms) and short-acting theophylline tablets (dose titrated to produce serum levels of 10-20 micrograms/mL) were compared in a double-blind, placebo-controlled crossover study in 21 patients with stable, <span class=""disease"">chronic obstructive pulmonary disease</span>.",1835291,bcv_easy_123,""
759258632,0.19,26,false,You can't infer that the Heparin is causing the pain; injecting anything might cause pain. Your answer is neither logical nor correct.,0.0385,,"","",yes_direct,"How long it takes to inject heparin can influence the amount of bruising and pain felt, but we can conclude from this sentence that heparin is what is causing the pain (e.g., injecting saline would probably not cause pain).","very_confident
confident
not_too_confident
not_confident","",D010146,"<span class=""disease"">pain</span>",D006493,"<span class=""chemical"">heparin</span>","AIM: This study was carried out to determine the effect of injection duration on bruising and <span class=""disease"">pain</span> following the administration of the subcutaneous injection of <span class=""chemical"">heparin</span>.",17931375,bcv_easy_60,""
759268734,0.05,19,false,"",0.0,,"","",no_relation,Ipratropium works better than theophylline at dilating lung passages in patients who have chronic airflow obstruction. The sentence never says that theophylline was what caused chronic airflow obstruction.,"very_confident
confident
not_too_confident
not_confident","",D029424,"<span class=""disease"">chronic airflow obstruction</span>",D013806,"<span class=""chemical"">theophylline</span>","These results show that ipratropium is a more potent bronchodilator than oral <span class=""chemical"">theophylline</span> in patients with <span class=""disease"">chronic airflow obstruction</span>.",1835291,bcv_easy_121,""
