_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,chemical_disease_relationships,comment_box,chemical_disease_relationships_gold,choice_0_ids,choice_0_label,choice_1_ids,choice_1_label,choice_2_ids,choice_2_label,choice_3_ids,choice_3_label,choice_4_ids,choice_4_label,form_abstract,form_title,pmid,uniq_id
739660089,6/19/2015 00:44:51,False,1665425696,,6/19/2015 00:39:14,False,clixsense,0.833333333333,31001914,MKD,E3,Prilep,92.53.49.85,choice_4,,,D002945_induces_D013921,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">thrombocytopenia</span>",D002945_induces_D064420,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">toxicity</span>",D002945_induces_D003643,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">death</span>",D002945_induces_D009503,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">neutropenia</span>",D002945_induces_D002289,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">nonsmall cell lung carcinoma</span>","<p>BACKGROUND: <span class=""chemical"">Cisplatin</span>-based chemotherapy combinations improve quality of life and survival in advanced <span class=""disease"">nonsmall cell lung carcinoma</span> (<span class=""disease"">NSCLC</span>). The emergence of new active drugs might translate into more effective regimens for the treatment of this disease. </p><p>METHODS: The objective of this study was to determine the feasibility, response rate, and <span class=""disease"">toxicity</span> of a paclitaxel, <span class=""chemical"">cisplatin</span>, and gemcitabine combination to treat metastatic <span class=""disease"">NSCLC</span>. Thirty-five consecutive chemotherapy-naive patients with Stage IV <span class=""disease"">NSCLC</span> and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, <span class=""chemical"">cisplatin</span> (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks. Although responding patients were scheduled to receive consolidation radiotherapy and 24 patients received preplanned second-line chemotherapy after disease progression, the response and <span class=""disease"">toxicity</span> rates reported refer only to the chemotherapy regimen given. </p><p>RESULTS: All the patients were examined for <span class=""disease"">toxicity</span>; 34 were examinable for response. An objective response was observed in 73.5% of the patients (95% confidence interval [CI], 55.6-87.1%), including 4 complete responses (11.7%). According to intention-to-treat, the overall response rate was 71.4% (95% CI, 53. 7-85.4%). After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for paclitaxel (97.3%), 117 mg/m(2) for <span class=""chemical"">cisplatin</span> (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%). World Health Organization Grade 3-4 <span class=""disease"">neutropenia</span> and <span class=""disease"">thrombocytopenia</span> occurred in 39.9% and 11.4% of patients, respectively. There was one treatment-related <span class=""disease"">death</span>. Nonhematologic <span class=""disease"">toxicities</span> were mild. After a median follow-up of 22 months, the median progression free survival rate was 7 months, and the median survival time was 16 months. </p><p>CONCLUSIONS: The combination of paclitaxel, <span class=""chemical"">cisplatin</span>, and gemcitabine is well tolerated and shows high activity in metastatic <span class=""disease"">NSCLC</span>. This treatment merits further comparison with other <span class=""chemical"">cisplatin</span>-based regimens.</p>","Paclitaxel, <span class=""chemical"">cisplatin</span>, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic <span class=""disease"">nonsmall cell lung carcinoma</span>.",11135224,bcv_id_3
739660089,6/19/2015 01:09:45,False,1665448869,,6/19/2015 01:06:44,False,elite,0.714285714286,31668998,VNM,44,Hanoi,116.98.13.178,none_are_true,,,D002945_induces_D013921,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">thrombocytopenia</span>",D002945_induces_D064420,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">toxicity</span>",D002945_induces_D003643,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">death</span>",D002945_induces_D009503,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">neutropenia</span>",D002945_induces_D002289,"<span class=""chemical"">cisplatin</span> contributes to or acts as a marker for <span class=""disease"">nonsmall cell lung carcinoma</span>","<p>BACKGROUND: <span class=""chemical"">Cisplatin</span>-based chemotherapy combinations improve quality of life and survival in advanced <span class=""disease"">nonsmall cell lung carcinoma</span> (<span class=""disease"">NSCLC</span>). The emergence of new active drugs might translate into more effective regimens for the treatment of this disease. </p><p>METHODS: The objective of this study was to determine the feasibility, response rate, and <span class=""disease"">toxicity</span> of a paclitaxel, <span class=""chemical"">cisplatin</span>, and gemcitabine combination to treat metastatic <span class=""disease"">NSCLC</span>. Thirty-five consecutive chemotherapy-naive patients with Stage IV <span class=""disease"">NSCLC</span> and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, <span class=""chemical"">cisplatin</span> (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks. Although responding patients were scheduled to receive consolidation radiotherapy and 24 patients received preplanned second-line chemotherapy after disease progression, the response and <span class=""disease"">toxicity</span> rates reported refer only to the chemotherapy regimen given. </p><p>RESULTS: All the patients were examined for <span class=""disease"">toxicity</span>; 34 were examinable for response. An objective response was observed in 73.5% of the patients (95% confidence interval [CI], 55.6-87.1%), including 4 complete responses (11.7%). According to intention-to-treat, the overall response rate was 71.4% (95% CI, 53. 7-85.4%). After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for paclitaxel (97.3%), 117 mg/m(2) for <span class=""chemical"">cisplatin</span> (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%). World Health Organization Grade 3-4 <span class=""disease"">neutropenia</span> and <span class=""disease"">thrombocytopenia</span> occurred in 39.9% and 11.4% of patients, respectively. There was one treatment-related <span class=""disease"">death</span>. Nonhematologic <span class=""disease"">toxicities</span> were mild. After a median follow-up of 22 months, the median progression free survival rate was 7 months, and the median survival time was 16 months. </p><p>CONCLUSIONS: The combination of paclitaxel, <span class=""chemical"">cisplatin</span>, and gemcitabine is well tolerated and shows high activity in metastatic <span class=""disease"">NSCLC</span>. This treatment merits further comparison with other <span class=""chemical"">cisplatin</span>-based regimens.</p>","Paclitaxel, <span class=""chemical"">cisplatin</span>, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic <span class=""disease"">nonsmall cell lung carcinoma</span>.",11135224,bcv_id_3
739660095,6/19/2015 00:44:51,False,1665425703,,6/19/2015 00:39:14,False,clixsense,0.833333333333,31001914,MKD,E3,Prilep,92.53.49.85,"choice_0
choice_1",,,D015742_induces_D010146,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">pain</span>",D015742_induces_D014474,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">Loss of consciousness</span>",D013874_induces_D010146,"<span class=""chemical"">Thiopentone</span> contributes to or acts as a marker for <span class=""disease"">pain</span>",D013874_induces_D014474,"<span class=""chemical"">Thiopentone</span> contributes to or acts as a marker for <span class=""disease"">Loss of consciousness</span>",D008012_induces_D010146,"<span class=""chemical"">lidocaine</span> contributes to or acts as a marker for <span class=""disease"">pain</span>","This study investigated <span class=""chemical"">propofol</span> injection <span class=""disease"">pain</span> in patients undergoing ambulatory anaesthesia. In a randomized, double-blind trial, 90 women were allocated to receive one of three treatments prior to induction of anaesthesia with <span class=""chemical"">propofol</span>. Patients in Group C received 2 ml normal saline, Group L, 2 ml, <span class=""chemical"">lidocaine</span> 2% (40 mg) and Group T, 2 ml <span class=""chemical"">thiopentone</span> 2.5% (50 mg). Venous discomfort was assessed with a visual analogue scale (VAS) 5-15 sec after commencing <span class=""chemical"">propofol</span> administration using an infusion pump (rate 1000 micrograms.kg-1.min-1). <span class=""disease"">Loss of consciousness</span> occurred in 60-90 sec. Visual analogue scores (mean +/- SD) during induction were lower in Groups L (3.3 +/- 2.5) and T (4.1 +/- 2.7) than in Group C (5.6 +/- 2.3); P = 0.0031. The incidence of venous discomfort was lower in Group L (76.6%; P < 0.05) than in Group C (100%) but not different from Group T (90%). The VAS scores for recall of <span class=""disease"">pain</span> in the recovery room were correlated with the VAS scores during induction (r = 0.7045; P < 0.0001). Recovery room discharge times were similar: C (75.9 +/- 19.4 min); L 73.6 +/- 21.6 min); T (77.1 +/- 18.9 min). Assessing their overall satisfaction, 89.7% would choose <span class=""chemical"">propofol</span> anaesthesia again. We conclude that <span class=""chemical"">lidocaine</span> reduces the incidence and severity of <span class=""chemical"">propofol</span> injection <span class=""disease"">pain</span> in ambulatory patients whereas <span class=""chemical"">thiopentone</span> only reduces its severity.","<span class=""chemical"">Thiopentone</span> pretreatment for <span class=""chemical"">propofol</span> injection <span class=""disease"">pain</span> in ambulatory patients.",8595686,bcv_id_9
739660095,6/19/2015 01:09:45,False,1665448873,,6/19/2015 01:06:44,False,elite,0.714285714286,31668998,VNM,44,Hanoi,116.98.13.178,choice_0,,,D015742_induces_D010146,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">pain</span>",D015742_induces_D014474,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">Loss of consciousness</span>",D013874_induces_D010146,"<span class=""chemical"">Thiopentone</span> contributes to or acts as a marker for <span class=""disease"">pain</span>",D013874_induces_D014474,"<span class=""chemical"">Thiopentone</span> contributes to or acts as a marker for <span class=""disease"">Loss of consciousness</span>",D008012_induces_D010146,"<span class=""chemical"">lidocaine</span> contributes to or acts as a marker for <span class=""disease"">pain</span>","This study investigated <span class=""chemical"">propofol</span> injection <span class=""disease"">pain</span> in patients undergoing ambulatory anaesthesia. In a randomized, double-blind trial, 90 women were allocated to receive one of three treatments prior to induction of anaesthesia with <span class=""chemical"">propofol</span>. Patients in Group C received 2 ml normal saline, Group L, 2 ml, <span class=""chemical"">lidocaine</span> 2% (40 mg) and Group T, 2 ml <span class=""chemical"">thiopentone</span> 2.5% (50 mg). Venous discomfort was assessed with a visual analogue scale (VAS) 5-15 sec after commencing <span class=""chemical"">propofol</span> administration using an infusion pump (rate 1000 micrograms.kg-1.min-1). <span class=""disease"">Loss of consciousness</span> occurred in 60-90 sec. Visual analogue scores (mean +/- SD) during induction were lower in Groups L (3.3 +/- 2.5) and T (4.1 +/- 2.7) than in Group C (5.6 +/- 2.3); P = 0.0031. The incidence of venous discomfort was lower in Group L (76.6%; P < 0.05) than in Group C (100%) but not different from Group T (90%). The VAS scores for recall of <span class=""disease"">pain</span> in the recovery room were correlated with the VAS scores during induction (r = 0.7045; P < 0.0001). Recovery room discharge times were similar: C (75.9 +/- 19.4 min); L 73.6 +/- 21.6 min); T (77.1 +/- 18.9 min). Assessing their overall satisfaction, 89.7% would choose <span class=""chemical"">propofol</span> anaesthesia again. We conclude that <span class=""chemical"">lidocaine</span> reduces the incidence and severity of <span class=""chemical"">propofol</span> injection <span class=""disease"">pain</span> in ambulatory patients whereas <span class=""chemical"">thiopentone</span> only reduces its severity.","<span class=""chemical"">Thiopentone</span> pretreatment for <span class=""chemical"">propofol</span> injection <span class=""disease"">pain</span> in ambulatory patients.",8595686,bcv_id_9
739660097,6/19/2015 00:29:23,False,1665411021,,6/19/2015 00:27:14,False,neodev,0.7,11000920,ITA,12,Turin,93.146.149.78,choice_3,,,D010862_induces_D013226,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">status epilepticus</span>",D010862_induces_D003643,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">death</span>",D010862_induces_D028361,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">Mitochondrial abnormalities</span>",D010862_induces_D004827,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">epilepsy</span>",D010862_induces_D004833,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">temporal lobe epilepsy</span>","<span class=""disease"">Mitochondrial abnormalities</span> have been associated with several aspects of epileptogenesis, such as energy generation, control of cell <span class=""disease"">death</span>, neurotransmitter synthesis, and free radical (FR) production. Increased production of FRs may cause mtDNA damage leading to decreased activities of oxidative phosphorylation complexes containing mtDNA-encoded subunits. In this study, we investigated whether increased generation of FR during <span class=""disease"">status epilepticus</span> would be sufficient to provoke abnormalities in mtDNA and in the expression and activity of cytochrome c oxidase (CCO), complex IV of the respiratory chain, in the chronic phase of the <span class=""chemical"">pilocarpine</span> model of <span class=""disease"">temporal lobe epilepsy</span>. DNA analysis revealed low amounts of a 4.8 kb mtDNA deletion but with no differences in frequency or quantity in the control and experimental groups. We did not find abnormalities in the expression and distribution of an mtDNA-encoded subunit of CCO (CCO-I) or a relative decrease in CCO-I when compared with nuclear-encoded subunits (CCO-IV and SDH-fp). No abnormality in CCO activity was observed through histochemistry. Although evidences of <span class=""disease"">mitochondrial abnormalities</span> were found in previously published studies, our results do not suggest that the FRs, generated during the acute phase, determined important abnormalities in mtDNA, in expression of CCO-I, and in CCO activity.","Investigation of mitochondrial involvement in the experimental model of <span class=""disease"">epilepsy</span> induced by <span class=""chemical"">pilocarpine</span>.",16337777,bcv_id_11
739660097,6/19/2015 00:59:32,False,1665439130,,6/19/2015 00:57:57,False,elite,0.714285714286,31668998,VNM,44,Hanoi,116.98.13.178,choice_3,,,D010862_induces_D013226,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">status epilepticus</span>",D010862_induces_D003643,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">death</span>",D010862_induces_D028361,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">Mitochondrial abnormalities</span>",D010862_induces_D004827,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">epilepsy</span>",D010862_induces_D004833,"<span class=""chemical"">pilocarpine</span> contributes to or acts as a marker for <span class=""disease"">temporal lobe epilepsy</span>","<span class=""disease"">Mitochondrial abnormalities</span> have been associated with several aspects of epileptogenesis, such as energy generation, control of cell <span class=""disease"">death</span>, neurotransmitter synthesis, and free radical (FR) production. Increased production of FRs may cause mtDNA damage leading to decreased activities of oxidative phosphorylation complexes containing mtDNA-encoded subunits. In this study, we investigated whether increased generation of FR during <span class=""disease"">status epilepticus</span> would be sufficient to provoke abnormalities in mtDNA and in the expression and activity of cytochrome c oxidase (CCO), complex IV of the respiratory chain, in the chronic phase of the <span class=""chemical"">pilocarpine</span> model of <span class=""disease"">temporal lobe epilepsy</span>. DNA analysis revealed low amounts of a 4.8 kb mtDNA deletion but with no differences in frequency or quantity in the control and experimental groups. We did not find abnormalities in the expression and distribution of an mtDNA-encoded subunit of CCO (CCO-I) or a relative decrease in CCO-I when compared with nuclear-encoded subunits (CCO-IV and SDH-fp). No abnormality in CCO activity was observed through histochemistry. Although evidences of <span class=""disease"">mitochondrial abnormalities</span> were found in previously published studies, our results do not suggest that the FRs, generated during the acute phase, determined important abnormalities in mtDNA, in expression of CCO-I, and in CCO activity.","Investigation of mitochondrial involvement in the experimental model of <span class=""disease"">epilepsy</span> induced by <span class=""chemical"">pilocarpine</span>.",16337777,bcv_id_11
739660098,6/19/2015 00:38:02,False,1665419340,,6/19/2015 00:35:06,False,clixsense,0.75,16567674,PHL,D9,Mandaluyong City,121.54.32.148,"choice_0
choice_3",,,D015742_induces_D013610,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">tachycardia</span>",D015742_induces_D007022,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">hypotensive</span>",D015742_induces_D017202,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">myocardial ischemia</span>",D004809_induces_D013610,"<span class=""chemical"">ephedrine</span> contributes to or acts as a marker for <span class=""disease"">tachycardia</span>",D004809_induces_D007022,"<span class=""chemical"">ephedrine</span> contributes to or acts as a marker for <span class=""disease"">hypotensive</span>","The marked vasodilator and negative inotropic effects of <span class=""chemical"">propofol</span> are disadvantages in frail elderly patients. We investigated the safety and efficacy of adding different doses of <span class=""chemical"">ephedrine</span> to <span class=""chemical"">propofol</span> in order to obtund the <span class=""disease"">hypotensive</span> response. The haemodynamic effects of adding 15, 20 or 25 mg of <span class=""chemical"">ephedrine</span> to 200 mg of <span class=""chemical"">propofol</span> were compared to control in 40 ASA 3/4 patients over 60 years presenting for genito-urinary surgery. The addition of <span class=""chemical"">ephedrine</span> to <span class=""chemical"">propofol</span> appears to be an effective method of obtunding the <span class=""disease"">hypotensive</span> response to <span class=""chemical"">propofol</span> at all doses used in this study. However, marked <span class=""disease"">tachycardia</span> associated with the use of <span class=""chemical"">ephedrine</span> in combination with <span class=""chemical"">propofol</span> occurred in the majority of patients, occasionally reaching high levels in individual patients. Due to the risk of this <span class=""disease"">tachycardia</span> inducing <span class=""disease"">myocardial ischemia</span>, we would not recommend the use in elderly patients of any of the <span class=""chemical"">ephedrine</span>/<span class=""chemical"">propofol</span>/mixtures studied.","The haemodynamic effects of <span class=""chemical"">propofol</span> in combination with <span class=""chemical"">ephedrine</span> in elderly patients (ASA groups 3 and 4).",10520387,bcv_id_12
739660098,6/19/2015 00:39:39,False,1665420997,,6/19/2015 00:36:14,False,neodev,0.714285714286,17839436,PHL,09,Batangas,124.6.181.208,choice_1,,,D015742_induces_D013610,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">tachycardia</span>",D015742_induces_D007022,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">hypotensive</span>",D015742_induces_D017202,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">myocardial ischemia</span>",D004809_induces_D013610,"<span class=""chemical"">ephedrine</span> contributes to or acts as a marker for <span class=""disease"">tachycardia</span>",D004809_induces_D007022,"<span class=""chemical"">ephedrine</span> contributes to or acts as a marker for <span class=""disease"">hypotensive</span>","The marked vasodilator and negative inotropic effects of <span class=""chemical"">propofol</span> are disadvantages in frail elderly patients. We investigated the safety and efficacy of adding different doses of <span class=""chemical"">ephedrine</span> to <span class=""chemical"">propofol</span> in order to obtund the <span class=""disease"">hypotensive</span> response. The haemodynamic effects of adding 15, 20 or 25 mg of <span class=""chemical"">ephedrine</span> to 200 mg of <span class=""chemical"">propofol</span> were compared to control in 40 ASA 3/4 patients over 60 years presenting for genito-urinary surgery. The addition of <span class=""chemical"">ephedrine</span> to <span class=""chemical"">propofol</span> appears to be an effective method of obtunding the <span class=""disease"">hypotensive</span> response to <span class=""chemical"">propofol</span> at all doses used in this study. However, marked <span class=""disease"">tachycardia</span> associated with the use of <span class=""chemical"">ephedrine</span> in combination with <span class=""chemical"">propofol</span> occurred in the majority of patients, occasionally reaching high levels in individual patients. Due to the risk of this <span class=""disease"">tachycardia</span> inducing <span class=""disease"">myocardial ischemia</span>, we would not recommend the use in elderly patients of any of the <span class=""chemical"">ephedrine</span>/<span class=""chemical"">propofol</span>/mixtures studied.","The haemodynamic effects of <span class=""chemical"">propofol</span> in combination with <span class=""chemical"">ephedrine</span> in elderly patients (ASA groups 3 and 4).",10520387,bcv_id_12
739660098,6/19/2015 00:39:42,False,1665421021,,6/19/2015 00:34:52,False,elite,0.833333333333,29825265,VNM,44,Hanoi,117.0.163.7,"choice_0
choice_1",,,D015742_induces_D013610,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">tachycardia</span>",D015742_induces_D007022,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">hypotensive</span>",D015742_induces_D017202,"<span class=""chemical"">propofol</span> contributes to or acts as a marker for <span class=""disease"">myocardial ischemia</span>",D004809_induces_D013610,"<span class=""chemical"">ephedrine</span> contributes to or acts as a marker for <span class=""disease"">tachycardia</span>",D004809_induces_D007022,"<span class=""chemical"">ephedrine</span> contributes to or acts as a marker for <span class=""disease"">hypotensive</span>","The marked vasodilator and negative inotropic effects of <span class=""chemical"">propofol</span> are disadvantages in frail elderly patients. We investigated the safety and efficacy of adding different doses of <span class=""chemical"">ephedrine</span> to <span class=""chemical"">propofol</span> in order to obtund the <span class=""disease"">hypotensive</span> response. The haemodynamic effects of adding 15, 20 or 25 mg of <span class=""chemical"">ephedrine</span> to 200 mg of <span class=""chemical"">propofol</span> were compared to control in 40 ASA 3/4 patients over 60 years presenting for genito-urinary surgery. The addition of <span class=""chemical"">ephedrine</span> to <span class=""chemical"">propofol</span> appears to be an effective method of obtunding the <span class=""disease"">hypotensive</span> response to <span class=""chemical"">propofol</span> at all doses used in this study. However, marked <span class=""disease"">tachycardia</span> associated with the use of <span class=""chemical"">ephedrine</span> in combination with <span class=""chemical"">propofol</span> occurred in the majority of patients, occasionally reaching high levels in individual patients. Due to the risk of this <span class=""disease"">tachycardia</span> inducing <span class=""disease"">myocardial ischemia</span>, we would not recommend the use in elderly patients of any of the <span class=""chemical"">ephedrine</span>/<span class=""chemical"">propofol</span>/mixtures studied.","The haemodynamic effects of <span class=""chemical"">propofol</span> in combination with <span class=""chemical"">ephedrine</span> in elderly patients (ASA groups 3 and 4).",10520387,bcv_id_12
739660099,6/19/2015 00:27:12,False,1665409058,,6/19/2015 00:22:06,False,neodev,0.7,11000920,ITA,12,Turin,93.146.149.78,choice_0,,,D004809_induces_D017202,"<span class=""chemical"">ephedrine</span> contributes to or acts as a marker for <span class=""disease"">myocardial ischemia</span>",empty,This choice intentionally left blank.,empty,This choice intentionally left blank.,empty,This choice intentionally left blank.,empty,This choice intentionally left blank.,"The marked vasodilator and negative inotropic effects of propofol are disadvantages in frail elderly patients. We investigated the safety and efficacy of adding different doses of <span class=""chemical"">ephedrine</span> to propofol in order to obtund the hypotensive response. The haemodynamic effects of adding 15, 20 or 25 mg of <span class=""chemical"">ephedrine</span> to 200 mg of propofol were compared to control in 40 ASA 3/4 patients over 60 years presenting for genito-urinary surgery. The addition of <span class=""chemical"">ephedrine</span> to propofol appears to be an effective method of obtunding the hypotensive response to propofol at all doses used in this study. However, marked tachycardia associated with the use of <span class=""chemical"">ephedrine</span> in combination with propofol occurred in the majority of patients, occasionally reaching high levels in individual patients. Due to the risk of this tachycardia inducing <span class=""disease"">myocardial ischemia</span>, we would not recommend the use in elderly patients of any of the <span class=""chemical"">ephedrine</span>/propofol/mixtures studied.","The haemodynamic effects of propofol in combination with <span class=""chemical"">ephedrine</span> in elderly patients (ASA groups 3 and 4).",10520387,bcv_id_13
