_golden	chemical_id	chemical_name	disease_id	disease_name	form_body	form_title	in_gold	pmid	rel_origin	rel_resp_gold	rel_resp_gold_reason	uniq_id
True	MESH:D013726	"<span class=""chemical"">terbutaline/Terbutaline</span>"	MESH:D002658	"<span class=""disease"">neurodevelopmental disorder</span>"	"Autism is a <span class=""disease"">neurodevelopmental disorder</span> presenting before 3 years of age with deficits in communication and social skills and repetitive behaviors. In addition to genetic influences, recent studies suggest that prenatal drug or chemical exposures are risk factors for autism. <span class=""chemical"">Terbutaline</span>, a beta2-adrenoceptor agonist used to arrest preterm labor, has been associated with increased concordance for autism in dizygotic twins. We studied the effects of <span class=""chemical"">terbutaline</span> on microglial activation in different brain regions and behavioral outcomes in developing rats. Newborn rats were given <span class=""chemical"">terbutaline</span> (10 mg/kg) daily on postnatal days (PN) 2 to 5 or PN 11 to 14 and examined 24 h after the last dose and at PN 30. Immunohistochemical studies showed that administration of <span class=""chemical"">terbutaline</span> on PN 2 to 5 produced a robust increase in microglial activation on PN 30 in the cerebral cortex, as well as in cerebellar and cerebrocortical white matter. None of these effects occurred in animals given <span class=""chemical"">terbutaline</span> on PN 11 to 14. In behavioral tests, animals treated with <span class=""chemical"">terbutaline</span> on PN 2 to 5 showed consistent patterns of hyper-reactivity to novelty and aversive stimuli when assessed in a novel open field, as well as in the acoustic startle response test. Our findings indicate that beta2-adrenoceptor overstimulation during an early critical period results in microglial activation associated with innate neuroinflammatory pathways and behavioral abnormalities, similar to those described in autism. This study provides a useful animal model for understanding the neuropathological processes underlying autism spectrum disorders."	"Neuroinflammation and behavioral abnormalities after neonatal <span class=""chemical"">terbutaline</span> treatment in rats: implications for autism."	0.0	17400887	abs	"no_relation
"		refine_test_ques_all_2404
True	MESH:C005618	"<span class=""chemical"">benzoylecgonine</span>"	MESH:D012206	"<span class=""disease"">rhabdomyolysis</span>"	"We describe an outbreak of deaths from cocaine-induced excited delirium (EDDs) in Dade County, Florida between 1979 and 1990. From a registry of all cocaine-related deaths in Dade County, Florida, from 1969-1990, 58 EDDs were compared with 125 victims of accidental cocaine overdose without excited delirium. Compared with controls, EDDs were more frequently black, male, and younger. They were less likely to have a low body mass index, and more likely to have died in police custody, to have received medical treatment immediately before death, to have survived for a longer period, to have developed hyperthermia, and to have died in summer months. EDDs had concentrations of cocaine and <span class=""chemical"">benzoylecgonine</span> in autopsy blood that were similar to those for controls. The epidemiologic findings are most consistent with the hypothesis that chronic cocaine use disrupts dopaminergic function and, when coupled with recent cocaine use, may precipitate agitation, delirium, aberrant thermoregulation, <span class=""disease"">rhabdomyolysis</span>, and sudden death."	Fatal excited delirium following cocaine use: epidemiologic findings provide new evidence for mechanisms of cocaine toxicity.	0.0	8988571	abs	"no_relation
"		refine_test_ques_all_6325
True	MESH:D011188	"<span class=""chemical"">potassium</span>"	MESH:D000435	"<span class=""disease"">acute alcohol intoxication</span>"	"Atrial fibrillation in young patients without structural heart disease is rare. Therefore, when the arrhythmia is present in this population, reversible causes must be identified and resolved. Thyroid disorders, illicit drug or stimulant use, and <span class=""disease"">acute alcohol intoxication</span> are among these causes. We report the case of a 30-year-old Caucasian man who came to the emergency department in atrial fibrillation with rapid ventricular response. His medical history was unremarkable, except for minor fractures of the fingers and foot. Thyroid-stimulating hormone, magnesium, and <span class=""chemical"">potassium</span> levels were within normal limits, urine drug screen was negative, and alcohol use was denied. However, when the patient was questioned about use of herbal products and supplements, the use of creatine monohydrate was revealed. The patient was admitted to the hospital, anticoagulated with unfractionated heparin, and given intravenous diltiazem for rate control and intravenous amiodarone for rate and rhythm control. When discharged less than 24 hours later, he was receiving metoprolol and aspirin, with follow-up plans for echocardiography and nuclear imaging to assess perfusion. Exogenous creatine is used by athletes to theoretically improve exercise performance. Vegetarians may also take creatine to replace what they are not consuming from meat, fish, and other animal products. Previous anecdotal reports have linked creatine to the development of arrhythmia. Clinicians must be diligent when interviewing patients about their drug therapy histories and include questions about their use of herbal products and dietary supplements. In addition, it is important to report adverse effects associated with frequently consumed supplements and herbal products to the Food and Drug Administration and in the literature."	Lone atrial fibrillation associated with creatine monohydrate supplementation.	0.0	15899738	abs	"no_relation
"		refine_test_ques_all_559
True	MESH:D015215	"<span class=""chemical"">zidovudine/3'-azido-2',3'-deoxythymidine/AZT</span>"	MESH:D009205	"<span class=""disease"">myocarditis</span>"	"<p>BACKGROUND: Dilated cardiomyopathy (DCM) and <span class=""disease"">myocarditis</span> occur in many HIV-infected individuals, resulting in symptomatic heart failure in up to 5% of patients. Highly active antiretroviral therapy (HAART) has significantly reduced morbidity and mortality of acquired immunodeficiency syndrome (AIDS), but has resulted in an increase in cardiac and skeletal myopathies. </p><p>METHODS AND RESULTS: In order to investigate whether the HAART component <span class=""chemical"">zidovudine</span> (<span class=""chemical"">3'-azido-2',3'-deoxythymidine</span>; <span class=""chemical"">AZT</span>) triggers the Fas-dependent cell-death pathway and cause cytoskeletal disruption in a murine model of DCM, 8-week-old transgenic (expressing Fas ligand in the myocardium: FasL Tg) and non-transgenic (NTg) mice received water ad libitum containing different concentrations of <span class=""chemical"">AZT</span> (0, 0.07, 0.2, and 0.7 mg/ml). After 6 weeks, cardiac function was assessed by echocardiography and morphology was assessed by histopathologic and immunohistochemical methods. NTg and untreated FasL Tg mice showed little or no change in cardiac structure or function. In contrast, <span class=""chemical"">AZT</span>-treated FasL Tg mice developed cardiac dilation and depressed cardiac function in a dose-dependent manner, with concomitant inflammatory infiltration of both ventricles. These changes were associated with an increased sarcolemmal expression of Fas and FasL, as well as increased activation of caspase 3, translocation of calpain 1 to the sarcolemma and sarcomere, and increased numbers of cells undergoing apoptosis. These were associated with changes in dystrophin and cardiac troponin I localization, as well as loss of sarcolemmal integrity. </p><p>CONCLUSIONS: The expression of Fas ligand in the myocardium, as identified in HIV-positive patients, might increase the susceptibility to HAART-induced cardiomyopathy due to activation of apoptotic pathways, resulting in cardiac dilation and dysfunction.</p>"	"Myocardial Fas ligand expression increases susceptibility to <span class=""chemical"">AZT</span>-induced cardiomyopathy."	0.0	17943461	abs	"no_relation
"		refine_test_ques_all_6381
True	MESH:D003404	"<span class=""chemical"">creatinine</span>"	MESH:D006947	"<span class=""disease"">hyperkalemia</span>"	"<p>BACKGROUND: A previous randomized controlled trial evaluating the use of spironolactone in heart failure patients reported a low risk of <span class=""disease"">hyperkalemia</span> (2%) and renal insufficiency (0%). Because treatments for heart failure have changed since the benefits of spironolactone were reported, the prevalence of these complications may differ in current clinical practice. We therefore sought to determine the prevalence and clinical associations of <span class=""disease"">hyperkalemia</span> and renal insufficiency in heart failure patients treated with spironolactone. </p><p>METHODS: We performed a case control study of heart failure patients treated with spironolactone in our clinical practice. Cases were patients who developed <span class=""disease"">hyperkalemia</span> (K(+) >5.0 mEq/L) or renal insufficiency (Cr >or=2.5 mg/dL), and they were compared to 2 randomly selected controls per case. Clinical characteristics, medications, and serum chemistries at baseline and follow-up time periods were compared. </p><p>RESULTS: Sixty-seven of 926 patients (7.2%) required discontinuation of spironolactone due to <span class=""disease"">hyperkalemia</span> (n = 33) or renal failure (n = 34). Patients who developed <span class=""disease"">hyperkalemia</span> were older and more likely to have diabetes, had higher baseline serum potassium levels and lower baseline potassium supplement doses, and were more likely to be treated with beta-blockers than controls (n = 134). Patients who developed renal insufficiency had lower baseline body weight and higher baseline serum <span class=""chemical"">creatinine</span>, required higher doses of loop diuretics, and were more likely to be treated with thiazide diuretics than controls. </p><p>CONCLUSIONS: Spironolactone-induced <span class=""disease"">hyperkalemia</span> and renal insufficiency are more common in our clinical experience than reported previously. This difference is explained by patient comorbidities and more frequent use of beta-blockers.</p>"	"Spironolactone-induced renal insufficiency and <span class=""disease"">hyperkalemia</span> in patients with heart failure."	0.0	15632880	abs	"no_relation
"		refine_test_ques_all_6356
True	MESH:C017367	"<span class=""chemical"">carmofur</span>"	MESH:D020521	"<span class=""disease"">stroke</span>"	"<p>BACKGROUND: A transient leukoencephalopathy mimicking cerebrovascular accident has been described as a complication of chemotherapy, most commonly in recipients of intrathecal methotrexate for childhood leukaemia. Recently published neuroimaging data suggest a common pathophysiology associated with a variety of chemotherapy agents and modes of administration. </p><p>METHODS: We reviewed the medical literature for single reports and case series of patients presenting with <span class=""disease"">stroke</span>-like episodes while receiving systemic or intrathecal chemotherapy. We only included studies providing detailed neuroimaging data. Patients with cerebrovascular accidents were excluded. </p><p>RESULTS: We identified 27 reports of toxic leukoencephalopathy in patients treated with methotrexate (intrathecal, systemic), 5-fluorouracil and its derivative <span class=""chemical"">carmofur</span>, and capecitabine. Diffusion weighted imaging (DWI) of all patients revealed well demarcated hyperintense lesions within the subcortical white matter of the cerebral hemispheres and the corpus callosum, corresponding to areas of decreased proton diffusion on apparent diffusion coefficient (ADC) maps (available in 21/27 patients). Lesions exceeded the confines of adjacent vascular territories. Complete resolution of symptoms within 1-4 days was accompanied by normalisation of ADC abnormalities. However, fluid attenuated inversion recovery (FLAIR) sequences frequently revealed persistent white matter abnormalities. </p><p>CONCLUSIONS: Several pathophysiological models of delayed leukoencephalopathy after exposure to intrathecal or systemic chemotherapy have been proposed. DWI findings in this cohort are indicative of cytotoxic oedema within cerebral white matter and lend support to an at least partially reversible metabolic derangement as the basis for this syndrome.</p>"	"Delayed leukoencephalopathy with <span class=""disease"">stroke</span>-like presentation in chemotherapy recipients."	0.0	17682013	abs	"no_relation
"		refine_test_ques_all_2492
True	MESH:D000809	"<span class=""chemical"">angiotensin</span>"	MESH:D001327	"<span class=""disease"">autoimmunity</span>"	"Sirolimus is a novel immunosuppressant with potent antiproliferative actions through its ability to inhibit the raptor-containing mammalian target of rapamycin protein kinase. Sirolimus represents a major therapeutic advance in the prevention of acute renal allograft rejection and chronic allograft nephropathy. Its role in the therapy of glomerulonephritis, <span class=""disease"">autoimmunity</span>, cystic renal diseases and renal cancer is under investigation. Because sirolimus does not share the vasomotor renal adverse effects exhibited by calcineurin inhibitors, it has been designated a 'non-nephrotoxic drug'. However, clinical reports suggest that, under some circumstances, sirolimus is associated with proteinuria and acute renal dysfunction. A common risk factor appears to be presence of pre-existing chronic renal damage. The mechanisms of sirolimus-associated proteinuria are multifactorial and may be due to an increase in glomerular capillary pressure following calcineurin inhibitor withdrawal. It has also been suggested that sirolimus directly causes increased glomerular permeability/injury, but evidence for this mechanism is currently inconclusive. The acute renal dysfunction associated with sirolimus (such as in delayed graft function) may be due to suppression of compensatory renal cell proliferation and survival/repair processes. Although these adverse effects occur in some patients, their occurrence could be minimised by knowledge of the molecular effects of sirolimus on the kidney, the use of sirolimus in appropriate patient populations, close monitoring of proteinuria and renal function, use of <span class=""chemical"">angiotensin</span>-converting enzyme inhibitors or angiotensin II receptor blockers if proteinuria occurs and withdrawal if needed. Further long-term analysis of renal allograft studies using sirolimus as de novo immunosuppression along with clinical and laboratory studies will refine these issues in the future."	Sirolimus-associated proteinuria and renal dysfunction.	0.0	17147461	abs	"no_relation
"		refine_test_ques_all_4218
True	MESH:D004837	"<span class=""chemical"">adrenaline/epinephrine</span>"	MESH:D007022	"<span class=""disease"">hypotension</span>"	"A 51 year old man took a mixed overdose including 1.8-3.6 g of diltiazem, paracetamol, aspirin, isosorbide nitrate, and alcohol. He initially presented to hospital after six hours with mild <span class=""disease"">hypotension</span> and was treated with activated charcoal and intravenous fluids. Eighteen hours after the overdose he had two generalised tonic-clonic seizures. The patient remained unresponsive with junctional bradycardia, unrecordable blood pressure, and then became asystolic. He was resuscitated with high dose (13.5 g) intravenous calcium and <span class=""chemical"">adrenaline</span> (<span class=""chemical"">epinephrine</span>). He required inotropic support and temporary pacing over the next 48 hours. This case suggests there is a role for aggressive high dose intravenous calcium therapy in severe diltiazem overdose, particularly with the onset of asystole. It should be considered early in cases of cardiac arrest after diltiazem overdose. The case also highlights the problems with delayed toxicity when whole bowel irrigation is not administered."	Delayed asystolic cardiac arrest after diltiazem overdose; resuscitation with high dose intravenous calcium.	0.0	12101159	abs	"no_relation
"		refine_test_ques_all_3211
True	MESH:C002630	"<span class=""chemical"">alpha,beta-methylene adenosine-5'-triphosphate/alpha,beta-meATP</span>"	MESH:D003556	"<span class=""disease"">cystitis</span>"	"In cyclophosphamide-induced <span class=""disease"">cystitis</span> in the rat, detrusor function is impaired and the expression and effects of muscarinic receptors altered. Whether or not the neuronal transmission may be affected by <span class=""disease"">cystitis</span> was presently investigated. Responses of urinary strip preparations from control and cyclophosphamide-pretreated rats to electrical field stimulation and to agonists were assessed in the absence and presence of muscarinic, adrenergic and purinergic receptor antagonists. Generally, atropine reduced contractions, but in contrast to controls, it also reduced responses to low electrical field stimulation intensity (1-5 Hz) in inflamed preparations. In both types, purinoceptor desensitization with <span class=""chemical"">alpha,beta-methylene adenosine-5'-triphosphate</span> (<span class=""chemical"">alpha,beta-meATP</span>) caused further reductions at low frequencies (<10 Hz). The muscarinic receptor antagonists atropine, 4-diphenylacetoxy-N-methylpiperidine (4-DAMP) ('M(1)/M(3)/M(5)-selective'), methoctramine ('M(2)-selective') and pirenzepine ('M(1)-selective') antagonized the tonic component of the electrical field stimulation-evoked contractile response more potently than the phasic component. 4-DAMP inhibited the tonic contractions in controls more potently than methoctramine and pirenzepine. In inflamed preparations, the muscarinic receptor antagonism on the phasic component of the electrical field stimulation-evoked contraction was decreased and the pirenzepine and 4-DAMP antagonism on the tonic component was much less efficient than in controls. In contrast to controls, methoctramine increased -- instead of decreased -- the tonic responses at high frequencies. While contractions to carbachol and ATP were the same in inflamed and in control strips when related to a reference potassium response, isoprenaline-induced relaxations were smaller in inflamed strips. Thus, in <span class=""disease"">cystitis</span> substantial changes of the efferent functional responses occur. While postjunctional beta-adrenoceptor-mediated relaxations are reduced, effects by prejunctional inhibitory muscarinic receptors may be increased."	"In vitro characterization of parasympathetic and sympathetic responses in cyclophosphamide-induced <span class=""disease"">cystitis</span> in the rat."	0.0	17244258	abs	"no_relation
"		refine_test_ques_all_615
True	MESH:D020123	"<span class=""chemical"">sirolimus</span>"	MESH:D052016	"<span class=""disease"">mucositis</span>"	"A calcineurin inhibitor combined with methotrexate is the standard prophylaxis for graft-versus-host disease (GVHD) after allogeneic hematopoietic stem cell transplantation (HSCT). Everolimus, a derivative of <span class=""chemical"">sirolimus</span>, seems to mediate antileukemia effects. We report on a combination of everolimus and tacrolimus in 24 patients (median age, 62 years) with either myelodysplastic syndrome (MDS; n = 17) or acute myeloid leukemia (AML; n = 7) undergoing intensive conditioning followed by HSCT from related (n = 4) or unrelated (n = 20) donors. All patients engrafted, and only 1 patient experienced grade IV <span class=""disease"">mucositis</span>. Nine patients (37%) developed acute grade II-IV GVHD, and 11 of 17 evaluable patients (64%) developed chronic extensive GVHD. Transplantation-associated microangiopathy (TMA) occurred in 7 patients (29%), with 2 cases of acute renal failure. The study was terminated prematurely because an additional 6 patients (25%) developed sinusoidal obstruction syndrome (SOS), which was fatal in 2 cases. With a median follow-up of 26 months, the 2-year overall survival rate was 47%. Although this new combination appears to be effective as a prophylactic regimen for acute GVHD, the incidence of TMA and SOS is considerably higher than seen with other regimens."	Graft-versus-host disease prophylaxis with everolimus and tacrolimus is associated with a high incidence of sinusoidal obstruction syndrome and microangiopathy: results of the EVTAC trial.	0.0	19135948	abs	"no_relation
"		refine_test_ques_all_3240
