_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,comment_box,verify_relationship,worker_confidence,disease_id,disease_name,drug_id,drug_name,form_abstract,form_title,pmid,uniq_id,verify_relationship_gold,worker_confidence_gold
756359591,7/21/2015 00:30:42,false,1694432011,,7/21/2015 00:29:52,false,gifthunterclub,0.7857,27920569,ESP,60,Castellón,83.45.43.23,,no_relation,confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",C063968,"<span class=""chemical"">E4031</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), cisapride (11 nM) and <span class=""chemical"">E4031</span> (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, cisapride) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of <span class=""chemical"">E4031</span>, cisapride, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_0,,
756359591,7/21/2015 00:32:50,false,1694432585,,7/21/2015 00:29:59,false,clixsense,1.0,20404755,IRL,"","",86.46.193.47,,no_relation,very_confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",C063968,"<span class=""chemical"">E4031</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), cisapride (11 nM) and <span class=""chemical"">E4031</span> (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, cisapride) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of <span class=""chemical"">E4031</span>, cisapride, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_0,,
756359591,7/21/2015 00:35:07,false,1694433298,,7/21/2015 00:30:09,false,instagc,0.8182,27770607,USA,TX,El Paso,70.120.227.200,,no_relation,confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",C063968,"<span class=""chemical"">E4031</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), cisapride (11 nM) and <span class=""chemical"">E4031</span> (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, cisapride) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of <span class=""chemical"">E4031</span>, cisapride, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_0,,
756359591,7/21/2015 00:35:25,false,1694433370,,7/21/2015 00:30:13,false,neodev,0.9091,33534395,MEX,09,Mexico,187.234.211.112,,no_relation,confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",C063968,"<span class=""chemical"">E4031</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), cisapride (11 nM) and <span class=""chemical"">E4031</span> (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, cisapride) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of <span class=""chemical"">E4031</span>, cisapride, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_0,,
756359591,7/21/2015 01:09:42,false,1694443215,,7/21/2015 01:00:51,false,points4rewards,0.8889,20113482,USA,PA,Philadelphia,162.208.49.45,,no_relation,confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",C063968,"<span class=""chemical"">E4031</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), cisapride (11 nM) and <span class=""chemical"">E4031</span> (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, cisapride) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of <span class=""chemical"">E4031</span>, cisapride, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_0,,
756359592,7/21/2015 00:24:09,false,1694430239,,7/21/2015 00:23:03,false,tremorgames,0.8571,32210219,ITA,05,Rimini,87.11.242.140,this test question is wrong,no_relation,very_confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",D020117,"<span class=""chemical"">cisapride</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), <span class=""chemical"">cisapride</span> (11 nM) and E4031 (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, <span class=""chemical"">cisapride</span>, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_1,,
756359592,7/21/2015 00:27:10,false,1694431193,,7/21/2015 00:23:48,false,gifthunterclub,0.8571,26603936,ESP,34,Pravia,85.152.61.114,,yes_direct,confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",D020117,"<span class=""chemical"">cisapride</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), <span class=""chemical"">cisapride</span> (11 nM) and E4031 (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, <span class=""chemical"">cisapride</span>, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_1,,
756359592,7/21/2015 00:27:22,false,1694431238,,7/21/2015 00:22:59,true,clixsense,0.6667,8640781,MEX,21,Puebla,187.135.170.63,,yes_direct,very_confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",D020117,"<span class=""chemical"">cisapride</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), <span class=""chemical"">cisapride</span> (11 nM) and E4031 (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, <span class=""chemical"">cisapride</span>, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_1,,
756359592,7/21/2015 00:28:31,false,1694431498,,7/21/2015 00:27:26,false,elite,0.8571,29246578,MAR,45,Casablanca,41.250.32.150,,no_relation,very_confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",D020117,"<span class=""chemical"">cisapride</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), <span class=""chemical"">cisapride</span> (11 nM) and E4031 (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, <span class=""chemical"">cisapride</span>, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_1,,
756359592,7/21/2015 00:31:48,false,1694432235,,7/21/2015 00:23:51,true,neodev,0.6667,33314121,VEN,13,Barquisimeto,190.36.183.52,,yes_direct,confident,D017180,"<span class=""disease"">ventricular tachycardia</span>",D020117,"<span class=""chemical"">cisapride</span>","1. Torsades de pointes (TDP) is a potentially fatal <span class=""disease"">ventricular tachycardia</span> associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031. On the basis that only free drug in the systemic circulation will elicit a pharmacological response target, free concentrations in plasma were selected to mimic the free drug exposures in man. Infusion regimens were designed that rapidly achieved and maintained target-free concentrations of these drugs in plasma and data on the relationship between free concentration and changes in MAPD were obtained for these compounds. 3. These data indicate that the free ED50 in plasma for terfenadine (1.9 nM), terodiline (76 nM), <span class=""chemical"">cisapride</span> (11 nM) and E4031 (1.9 nM) closely correlate with the free concentration in man causing QT effects. For compounds that have shown TDP in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins. These data underline the need to maximize the therapeutic ratio with respect to TDP in potential development candidates and the importance of using free drug concentrations in pharmacokinetic/pharmacodynamic studies.","Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, <span class=""chemical"">cisapride</span>, terfenadine and terodiline on monophasic action potential duration in dog.",11569530,bcv_hard_1,,
