_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,ask_question_here,comment_box,verify_relationship,orig__golden,chemical_id,chemical_name,disease_id,disease_name,form_sentence,original_job_id,pmid,relation_pair_id,sentence_id,uniq_id,verify_relationship_gold,verify_relationship_gold_reason
778101673,8/26/2015 04:27:13,true,1721331206,true,8/26/2015 04:24:26,false,clixsense,0.8837,13919775,IDN,30,Tangerang,180.250.88.122,,,yes_direct,TRUE,D012701,"<span class=""chemical"">5-HT</span>",D011605,"<span class=""disease"">psychotic disorders</span>","These animal models were considered to reflect the positive symptoms of schizophrenia, and the above evidence suggests that altered <span class=""chemical"">5-HT</span>6 receptors are involved in the pathophysiology of <span class=""disease"">psychotic disorders</span>.",762850.0,20705401.0,20705401_D012701_D011605,,bcv_easy_68_sent_dev_set_762850,no_relation,"The receptors to 5-HT6 are related to psychotic disorders, not 5-HT itself."
778101673,8/26/2015 04:52:56,true,1721340090,true,8/26/2015 04:50:34,false,neodev,0.8333,11598752,,,"",104.219.204.172,,,yes_direct,TRUE,D012701,"<span class=""chemical"">5-HT</span>",D011605,"<span class=""disease"">psychotic disorders</span>","These animal models were considered to reflect the positive symptoms of schizophrenia, and the above evidence suggests that altered <span class=""chemical"">5-HT</span>6 receptors are involved in the pathophysiology of <span class=""disease"">psychotic disorders</span>.",762850.0,20705401.0,20705401_D012701_D011605,,bcv_easy_68_sent_dev_set_762850,no_relation,"The receptors to 5-HT6 are related to psychotic disorders, not 5-HT itself."
778101673,8/26/2015 05:39:57,true,1721366341,true,8/26/2015 05:38:47,false,neodev,0.8286,33292218,VEN,"","",190.199.97.165,,,yes_direct,TRUE,D012701,"<span class=""chemical"">5-HT</span>",D011605,"<span class=""disease"">psychotic disorders</span>","These animal models were considered to reflect the positive symptoms of schizophrenia, and the above evidence suggests that altered <span class=""chemical"">5-HT</span>6 receptors are involved in the pathophysiology of <span class=""disease"">psychotic disorders</span>.",762850.0,20705401.0,20705401_D012701_D011605,,bcv_easy_68_sent_dev_set_762850,no_relation,"The receptors to 5-HT6 are related to psychotic disorders, not 5-HT itself."
778101673,8/26/2015 05:44:56,true,1721370306,true,8/26/2015 05:34:11,true,elite,0.3333,33298556,VNM,20,Ho Chi Minh City,115.76.81.89,,,yes_direct,TRUE,D012701,"<span class=""chemical"">5-HT</span>",D011605,"<span class=""disease"">psychotic disorders</span>","These animal models were considered to reflect the positive symptoms of schizophrenia, and the above evidence suggests that altered <span class=""chemical"">5-HT</span>6 receptors are involved in the pathophysiology of <span class=""disease"">psychotic disorders</span>.",762850.0,20705401.0,20705401_D012701_D011605,,bcv_easy_68_sent_dev_set_762850,no_relation,"The receptors to 5-HT6 are related to psychotic disorders, not 5-HT itself."
778101674,8/26/2015 04:31:19,true,1721332441,true,8/26/2015 04:28:51,true,clixsense,0.5,30275561,IDN,04,Jakarta,120.29.155.251,,,yes_direct,TRUE,D010396,"<span class=""chemical"">D-penicillamine</span>",D012594,"<span class=""disease"">localized scleroderma</span>","Case reports of 11 patients with severe, extensive <span class=""disease"">localized scleroderma</span> who were treated with <span class=""chemical"">D-penicillamine</span> are summarized in this article.",762850.0,2334179.0,2334179_D010396_D012594,,bcv_easy_2399_sent_dev_set_762850,no_relation,D-penicillamine was used to treat the patients.
778101675,8/26/2015 04:41:08,true,1721335576,,8/26/2015 04:40:28,false,neodev,0.8689,27597779,CAN,AB,Calgary,68.146.86.137,,,no_relation,TRUE,D015016,"<span class=""chemical"">yohimbine</span>",D019964,"<span class=""disease"">affective disorders</span>","METHOD: Six patients with either obsessive compulsive disorder, trichotillomania, anxiety, or <span class=""disease"">affective disorders</span> who suffered sexual side effects after treatment with serotonin reuptake blockers were given <span class=""chemical"">yohimbine</span> on a p.r.n. basis in an open clinical trial.",762850.0,1535072.0,1535072_D015016_D019964,,bcv_easy_642_sent_dev_set_762850,no_relation,"The sentence says the affective disorders were caused by ""serotonin reuptake blockers"". Yohimbine was used to try and treat the patients."
778101676,8/26/2015 05:23:46,true,1721353104,,8/26/2015 05:21:15,true,clixsense,0.5,21406883,PHL,"","",121.54.54.174,,,no_relation,TRUE,D002118,"<span class=""chemical"">calcium</span>",D013035,"<span class=""disease"">muscle spasms</span>","While severe hypokalemia may cause muscle weakness, severe hypomagnesemia is associated with <span class=""disease"">muscle spasms</span> and tetany which cannot be corrected by potassium and <span class=""chemical"">calcium</span> supplementation alone (1,2).",762850.0,8492347.0,8492347_D002118_D013035,,bcv_easy_1271_sent_dev_set_762850,no_relation,The sentence says calcium supplementation cannot be used to treat muscle spasms and tetany.
778101676,8/26/2015 05:38:24,true,1721365130,,8/26/2015 05:35:38,false,elite,0.7778,33924850,IND,16,Panvel,111.119.197.21,,,no_relation,TRUE,D002118,"<span class=""chemical"">calcium</span>",D013035,"<span class=""disease"">muscle spasms</span>","While severe hypokalemia may cause muscle weakness, severe hypomagnesemia is associated with <span class=""disease"">muscle spasms</span> and tetany which cannot be corrected by potassium and <span class=""chemical"">calcium</span> supplementation alone (1,2).",762850.0,8492347.0,8492347_D002118_D013035,,bcv_easy_1271_sent_dev_set_762850,no_relation,The sentence says calcium supplementation cannot be used to treat muscle spasms and tetany.
778101677,8/26/2015 04:44:04,true,1721336564,,8/26/2015 04:42:21,false,neodev,0.9545,32664120,VEN,25,Caracas,190.72.148.117,,,no_relation,TRUE,D064730,"<span class=""chemical"">dexrazoxane</span>",D006402,"<span class=""disease"">hematologic toxicity</span>","Clinical trials in patients with brain metastases combining <span class=""chemical"">dexrazoxane</span> and high doses of etoposide is ongoing with the aim of improving efficacy without aggravating <span class=""disease"">hematologic toxicity</span>.",762850.0,15897593.0,15897593_D064730_D006402,,bcv_easy_2793_sent_dev_set_762850,no_relation,Dexrazoxane is being used to try and make the patients better without making hematologic toxicity worse. The sentence does not say that dexrazoxane causes hematologic toxicity.
778101677,8/26/2015 05:37:55,true,1721364708,,8/26/2015 05:35:45,false,clixsense,0.9524,31576730,IDN,30,Bandung,118.97.184.205,,,no_relation,TRUE,D064730,"<span class=""chemical"">dexrazoxane</span>",D006402,"<span class=""disease"">hematologic toxicity</span>","Clinical trials in patients with brain metastases combining <span class=""chemical"">dexrazoxane</span> and high doses of etoposide is ongoing with the aim of improving efficacy without aggravating <span class=""disease"">hematologic toxicity</span>.",762850.0,15897593.0,15897593_D064730_D006402,,bcv_easy_2793_sent_dev_set_762850,no_relation,Dexrazoxane is being used to try and make the patients better without making hematologic toxicity worse. The sentence does not say that dexrazoxane causes hematologic toxicity.
